"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Cascade River - spring Chinook salmon",1999,80.919009360232,118.139413437395,151.134412374833,199.50560553962,336.025264122054,"Puget Sound Chinook",83
"Cascade River - spring Chinook salmon",2000,161.346561747125,219.305495799452,256.800356321362,298.051351836198,393.17338495397,"Puget Sound Chinook",273
"Cascade River - spring Chinook salmon",2001,221.729234751456,307.206648132117,368.662609010316,445.216135706787,617.927986227653,"Puget Sound Chinook",625
"Cascade River - spring Chinook salmon",2002,234.583638976204,304.818825347014,355.001373415733,410.212878831196,545.593153534524,"Puget Sound Chinook",340
"Cascade River - spring Chinook salmon",2003,216.009177861062,283.276087302233,325.00515162477,375.290619474751,507.148583528544,"Puget Sound Chinook",298
"Cascade River - spring Chinook salmon",2004,235.328578643376,312.9475895919,363.383267799783,419.837995769163,563.814497019957,"Puget Sound Chinook",380
"Cascade River - spring Chinook salmon",2005,246.047507337505,323.033856084945,378.973027240457,439.998278031209,586.423429513834,"Puget Sound Chinook",420
"Cascade River - spring Chinook salmon",2006,242.485445911263,329.081545861083,390.426587049685,454.892501612042,608.50338883717,"Puget Sound Chinook",478
"Cascade River - spring Chinook salmon",2007,176.265176267135,242.730677560525,283.375652696697,329.269807603916,436.150319156152,"Puget Sound Chinook",223
"Cascade River - spring Chinook salmon",2008,203.441577194695,269.988265715912,312.569488496167,360.742507244466,478.356297323192,"Puget Sound Chinook",284
"Cascade River - spring Chinook salmon",2009,190.894596675179,252.046712917032,288.643418034037,333.501151660327,439.634073303489,"Puget Sound Chinook",338
"Cascade River - spring Chinook salmon",2010,191.631912424128,253.325814491958,292.453195494743,339.160601810524,444.97753224497,"Puget Sound Chinook",330
"Cascade River - spring Chinook salmon",2011,179.757544155183,234.62821506564,270.016638657135,311.360601089235,412.565174900855,"Puget Sound Chinook",265
"Cascade River - spring Chinook salmon",2012,220.595944426071,299.029483063321,353.446765996373,418.685849683072,574.504792807043,"Puget Sound Chinook",488
"Cascade River - spring Chinook salmon",2013,192.481398582181,254.763817457605,293.144445924854,339.181146998291,456.84647239855,"Puget Sound Chinook",310
"Cascade River - spring Chinook salmon",2014,154.628671758195,205.122258879949,236.132219993759,274.05793499203,364.888464462163,"Puget Sound Chinook",225
"Cascade River - spring Chinook salmon",2015,157.477350031433,205.970878372673,235.521388797637,271.590483008561,358.677657477534,"Puget Sound Chinook",188
"Cascade River - spring Chinook salmon",2016,179.54841038359,237.539438944709,272.794512863922,314.82161944538,419.614652589379,"Puget Sound Chinook",295
"Cascade River - spring Chinook salmon",2017,169.350544237693,228.798388113923,263.336035518884,305.106312263537,413.081987240655,"Puget Sound Chinook",323
"Cascade River - spring Chinook salmon",2018,117.963499161942,156.222276229075,183.120013454218,214.342433313504,281.98765159547,"Puget Sound Chinook",128
"Cascade River - spring Chinook salmon",2019,103.655281019798,141.053751520386,165.863127224652,195.0900680053,265.691148000691,"Puget Sound Chinook",180
"Cascade River - spring Chinook salmon",2020,96.9786330470234,132.266050432861,156.558497205844,187.751585269523,264.389966089109,"Puget Sound Chinook",115
"Cascade River - spring Chinook salmon",2021,115.430550765013,154.744448280467,182.450104888238,214.690839797642,291.097803222615,"Puget Sound Chinook",145
"Cascade River - spring Chinook salmon",2022,155.934631658323,226.018657254632,279.472417906378,336.714566471183,476.948948089071,"Puget Sound Chinook",410
"Cascade River - spring Chinook salmon",2023,119.676118863702,197.574176992491,250.724279964193,328.670369177038,590.234775912911,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2024,30.0579229876434,124.486286795147,260.624836400266,530.407228091339,2012.4152163784,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2025,14.6771710356432,98.807681612759,259.872083822642,721.773540585117,4604.75769128621,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",1999,220.275868628912,512.018627306758,784.921425621268,1175.54016830943,2732.9609622644,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2000,286.342498144507,598.265798901929,868.385507150438,1256.78275093419,2803.4576350959,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2001,321.020458902143,667.923750331229,941.246639650528,1330.50599829986,2891.34553683902,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2002,369.600549810944,706.822746815405,938.294913743057,1254.7809446814,2260.02765222715,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2003,396.97016514137,697.368345945122,895.083817416212,1149.49833603461,1873.21152108648,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2004,503.122999900734,730.40282630192,884.489757085483,1070.90600526,1543.64560803578,"Puget Sound Chinook",842
"Cedar River - fall Chinook salmon",2005,517.155532484264,730.131494375351,869.521500108254,1030.73765916838,1425.52618269685,"Puget Sound Chinook",582
"Cedar River - fall Chinook salmon",2006,635.806954895878,886.085121582418,1042.93218843947,1235.13997503772,1732.38203820971,"Puget Sound Chinook",1164
"Cedar River - fall Chinook salmon",2007,670.058055998973,910.163052338611,1075.09627302001,1293.12620178541,1846.34572073519,"Puget Sound Chinook",1893
"Cedar River - fall Chinook salmon",2008,636.822317162346,875.212572018766,1039.43958693572,1235.62269486262,1748.68502881273,"Puget Sound Chinook",1346
"Cedar River - fall Chinook salmon",2009,445.732832871293,633.305504694242,749.922959368365,885.805240498604,1255.12722238448,"Puget Sound Chinook",577
"Cedar River - fall Chinook salmon",2010,432.186137798538,594.055581236721,701.875944889539,827.02405605122,1145.23963958225,"Puget Sound Chinook",548
"Cedar River - fall Chinook salmon",2011,428.09767611488,598.861891199608,707.941408954767,822.808146757313,1129.7908067658,"Puget Sound Chinook",646
"Cedar River - fall Chinook salmon",2012,526.027725966353,722.213849020291,838.239684113291,977.403204896471,1338.92647552314,"Puget Sound Chinook",881
"Cedar River - fall Chinook salmon",2013,531.814988043645,717.282457478642,844.812725211449,986.850103773853,1388.84311575023,"Puget Sound Chinook",1570
"Cedar River - fall Chinook salmon",2014,369.811967784737,543.38565715174,650.868383562244,772.004184932398,1053.24039106149,"Puget Sound Chinook",306
"Cedar River - fall Chinook salmon",2015,497.752460251764,677.774599042338,789.768524106082,921.34634820273,1253.61669638088,"Puget Sound Chinook",1192
"Cedar River - fall Chinook salmon",2016,510.978791583446,690.123857051123,805.085293471547,936.533639126831,1285.76451834195,"Puget Sound Chinook",615
"Cedar River - fall Chinook salmon",2017,535.336792421927,731.217072164145,867.441332043749,1048.06621476914,1520.76650371313,"Puget Sound Chinook",1564
"Cedar River - fall Chinook salmon",2018,405.981103436953,575.570238990952,673.054141038332,785.025195917122,1055.40139994021,"Puget Sound Chinook",666
"Cedar River - fall Chinook salmon",2019,335.470281594615,471.428993449048,559.337114969923,660.849254735595,895.378463370611,"Puget Sound Chinook",606
"Cedar River - fall Chinook salmon",2020,272.239877956328,400.321219404746,494.129913861642,593.5577220623,835.017556156019,"Puget Sound Chinook",278
