"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Cascade River - spring Chinook salmon",1999,75.641339524361,108.135864212294,133.251891106633,168.703296664576,271.937004625701,"Puget Sound Chinook",83
"Cascade River - spring Chinook salmon",2000,161.698216010412,221.155633438112,256.592255499615,297.541135489387,392.000563684599,"Puget Sound Chinook",273
"Cascade River - spring Chinook salmon",2001,229.679305489289,331.954313681516,399.678453438391,476.985927577525,645.133731378704,"Puget Sound Chinook",625
"Cascade River - spring Chinook salmon",2002,238.04819665066,313.532424622691,363.028873313825,419.09375323154,546.114412082059,"Puget Sound Chinook",340
"Cascade River - spring Chinook salmon",2003,216.54771070989,280.744392649166,325.284055928687,377.147076486894,502.735924036717,"Puget Sound Chinook",298
"Cascade River - spring Chinook salmon",2004,244.258044194424,324.480341470612,374.093799336267,430.582453514307,577.51652392888,"Puget Sound Chinook",380
"Cascade River - spring Chinook salmon",2005,251.324913080979,337.686631638023,390.838374784671,452.740567502047,600.051093096136,"Puget Sound Chinook",420
"Cascade River - spring Chinook salmon",2006,255.472495443678,350.413459954172,409.957399667816,475.408726808165,629.941785446639,"Puget Sound Chinook",478
"Cascade River - spring Chinook salmon",2007,177.328316797626,234.493810098498,273.84128127442,320.638736647182,436.412704784152,"Puget Sound Chinook",223
"Cascade River - spring Chinook salmon",2008,204.484830120536,275.243812671476,316.329547944893,364.282990268132,485.744853090163,"Puget Sound Chinook",284
"Cascade River - spring Chinook salmon",2009,189.84280251803,257.411032766807,297.17487006291,343.454049936196,454.615039528155,"Puget Sound Chinook",338
"Cascade River - spring Chinook salmon",2010,196.260487263639,259.875917172237,298.771789066656,341.990794729059,453.239989672508,"Puget Sound Chinook",330
"Cascade River - spring Chinook salmon",2011,182.669619290635,236.137212730652,272.699016845875,311.292796403465,423.053381333367,"Puget Sound Chinook",265
"Cascade River - spring Chinook salmon",2012,232.481783469488,317.966121481536,375.561200873688,442.61640923651,598.780005239296,"Puget Sound Chinook",488
"Cascade River - spring Chinook salmon",2013,197.070505152418,259.818328672195,301.483671506266,346.844791358223,453.944651182537,"Puget Sound Chinook",310
"Cascade River - spring Chinook salmon",2014,150.111077413283,200.042438446706,229.536774217123,267.403411735954,357.215868791449,"Puget Sound Chinook",225
"Cascade River - spring Chinook salmon",2015,148.883432685547,200.388776573209,228.963284798025,264.484827471699,356.786591737706,"Puget Sound Chinook",188
"Cascade River - spring Chinook salmon",2016,181.500851883423,241.375972627398,279.542482561532,323.526347234307,423.066939457756,"Puget Sound Chinook",295
"Cascade River - spring Chinook salmon",2017,173.288930295919,235.966938727879,274.510947066113,318.562070969873,411.996249834138,"Puget Sound Chinook",323
"Cascade River - spring Chinook salmon",2018,114.361127976985,150.811369988803,176.239247560282,204.085534989475,276.14396244696,"Puget Sound Chinook",128
"Cascade River - spring Chinook salmon",2019,101.666826269247,136.953760382297,159.89211161205,184.251466834664,248.764853045264,"Puget Sound Chinook",180
"Cascade River - spring Chinook salmon",2020,95.996415787044,126.410876684194,147.840674336273,173.780321843768,240.882926498354,"Puget Sound Chinook",115
"Cascade River - spring Chinook salmon",2021,113.274737416244,150.568823623574,175.629891681902,204.329520043091,276.507114316129,"Puget Sound Chinook",145
"Cascade River - spring Chinook salmon",2022,168.803914710695,245.28787333795,298.619468051978,355.882552894529,499.473608692455,"Puget Sound Chinook",410
"Cascade River - spring Chinook salmon",2023,121.548733069073,204.547794362622,267.154428085076,358.800814396185,662.307767701746,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2024,32.2467205196836,134.930341335613,278.609734803625,579.590581405295,2396.44312859244,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2025,14.8598499861531,104.817516303055,289.118957078418,770.575375645357,5728.40426479875,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",1999,172.965426480283,452.888495410348,721.720540281006,1147.70494193051,2967.57413372335,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2000,234.459905654384,537.270151851916,832.585848012706,1271.40185002538,2989.60764280159,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2001,274.820343296739,621.205919461419,929.691794765493,1379.42908830906,3144.98547438563,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2002,327.841431651697,660.400859623394,928.094398130715,1284.65444151647,2529.40026343139,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2003,367.541912877536,659.946113805882,862.300120295699,1134.72773036534,2016.73121699295,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2004,488.152533521499,723.594479875552,869.066099926684,1046.55276851935,1554.91682599946,"Puget Sound Chinook",842
"Cedar River - fall Chinook salmon",2005,493.648848871204,703.236274513928,833.480710148918,1003.26383249432,1416.8698231312,"Puget Sound Chinook",582
"Cedar River - fall Chinook salmon",2006,643.574448141748,893.680061355941,1067.76204114458,1268.58798357822,1793.76591662265,"Puget Sound Chinook",1164
"Cedar River - fall Chinook salmon",2007,667.229515868275,949.961594975442,1136.56904370397,1366.10240501806,1922.16914726511,"Puget Sound Chinook",1893
"Cedar River - fall Chinook salmon",2008,655.492138846957,916.079595812561,1100.88044985274,1307.31790932117,1837.07309023556,"Puget Sound Chinook",1346
"Cedar River - fall Chinook salmon",2009,437.386001603102,616.066253355253,731.466350785641,870.201091931707,1247.54465447888,"Puget Sound Chinook",577
"Cedar River - fall Chinook salmon",2010,421.692832360388,577.415916937761,680.361906783371,809.244409613514,1158.34506658013,"Puget Sound Chinook",548
"Cedar River - fall Chinook salmon",2011,412.757230112881,586.231312412226,688.244267036344,817.284395354619,1136.61821515937,"Puget Sound Chinook",646
"Cedar River - fall Chinook salmon",2012,522.419766694035,716.47133887522,852.779400925974,1006.66209614208,1418.72378571214,"Puget Sound Chinook",881
"Cedar River - fall Chinook salmon",2013,538.050873552114,735.306457027947,867.04773311199,1026.90299768989,1404.61428557307,"Puget Sound Chinook",1570
"Cedar River - fall Chinook salmon",2014,352.804543761637,504.916464488168,613.811400308227,733.605667371904,1034.47873192408,"Puget Sound Chinook",306
"Cedar River - fall Chinook salmon",2015,492.757931686816,682.327248952401,801.51855724428,937.406367758079,1265.89900135345,"Puget Sound Chinook",1192
"Cedar River - fall Chinook salmon",2016,506.05527549447,701.906776698257,823.91666301048,963.59226296858,1343.59900958936,"Puget Sound Chinook",615
"Cedar River - fall Chinook salmon",2017,554.87573028973,778.797537639632,934.884766408678,1132.85615874226,1598.71668118965,"Puget Sound Chinook",1564
"Cedar River - fall Chinook salmon",2018,407.596064669232,568.88755170632,668.04910999203,783.242125529046,1080.10609925813,"Puget Sound Chinook",666
"Cedar River - fall Chinook salmon",2019,320.029375658698,447.623410175385,531.379132356606,630.737636644471,873.810523470309,"Puget Sound Chinook",606
"Cedar River - fall Chinook salmon",2020,257.047700872122,376.096193041915,458.387812434266,551.92965463632,814.241702139811,"Puget Sound Chinook",278
"Cedar River - fall Chinook salmon",2021,254.104529657609,402.30048485257,508.688542083689,628.534306149842,991.572880635763,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2022,345.602348013131,485.688842197642,588.257695793836,705.836714435108,1015.05823906019,"Puget Sound Chinook",659
"Cedar River - fall Chinook salmon",2023,270.16322727493,398.832599937067,494.119993187449,610.048543416766,910.450038323841,"Puget Sound Chinook",421
"Cedar River - fall Chinook salmon",2024,65.3549606213648,245.797849566684,492.770036766977,1004.13781014231,3960.04861945612,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2025,28.9205510293978,186.477834069379,502.905232088432,1374.08375921116,8487.20835017901,"Puget Sound Chinook",NA
"Dungeness River - summer Chinook salmon",1999,6.07719570101591,19.6007469129986,31.8845807974813,51.5981462228004,122.836120537792,"Puget Sound Chinook",NA
"Dungeness River - summer Chinook salmon",2000,10.3230706509524,24.9767056272204,37.9784738850244,54.1608792959418,107.989864076259,"Puget Sound Chinook",NA
"Dungeness River - summer Chinook salmon",2001,17.0687979201598,28.1924891005185,38.0572934184655,52.8309147171101,97.2154251861547,"Puget Sound Chinook",17
"Dungeness River - summer Chinook salmon",2002,47.353181970307,69.375700655197,84.4259864421667,102.181969814774,154.83871411748,"Puget Sound Chinook",115
"Dungeness River - summer Chinook salmon",2003,63.6712003617062,95.6278346608759,115.23252398578,137.276465042999,200.24889548869,"Puget Sound Chinook",123
"Dungeness River - summer Chinook salmon",2004,88.4532623976286,134.917250171268,164.644588366793,200.637017685255,291.769132139679,"Puget Sound Chinook",182
"Dungeness River - summer Chinook salmon",2005,102.681177146705,165.272264499853,208.890426602545,261.343023613773,384.223969487243,"Puget Sound Chinook",304
"Dungeness River - summer Chinook salmon",2006,104.8626976781,169.215331191852,212.513570354066,262.200981796416,391.171471473044,"Puget Sound Chinook",293
"Dungeness River - summer Chinook salmon",2007,82.4899841009559,118.358877927451,141.715738591497,171.605863906154,250.075905757546,"Puget Sound Chinook",146
"Dungeness River - summer Chinook salmon",2008,60.2924585398001,86.8411335996921,103.797945852774,124.610486601776,181.493446098925,"Puget Sound Chinook",86
"Dungeness River - summer Chinook salmon",2009,45.1217097771555,64.9006612674165,77.6601162828169,94.2177440450566,139.621043565539,"Puget Sound Chinook",71
"Dungeness River - summer Chinook salmon",2010,45.9372392064772,65.0816753072633,78.3384258637134,93.6646267039684,137.38510298557,"Puget Sound Chinook",76
"Dungeness River - summer Chinook salmon",2011,48.8719518641744,70.7189874158711,85.5149352842042,102.539626003188,148.644695820347,"Puget Sound Chinook",83
"Dungeness River - summer Chinook salmon",2012,64.4848131917198,95.965286875714,117.560194677302,147.594698925746,222.489988404884,"Puget Sound Chinook",212
"Dungeness River - summer Chinook salmon",2013,35.7462228506582,51.719616961516,63.0484678903513,78.0915589397812,116.89266113823,"Puget Sound Chinook",46
"Dungeness River - summer Chinook salmon",2014,20.2012601063258,32.2556897832794,42.6537899834398,58.3326606733471,102.685108881694,"Puget Sound Chinook",21
"Dungeness River - summer Chinook salmon",2015,41.6252393417171,60.1730179095699,72.481741645173,89.3664635369642,130.426138483767,"Puget Sound Chinook",65
"Dungeness River - summer Chinook salmon",2016,67.223443225247,98.1954914410344,117.886145707207,140.087702713968,203.273461138222,"Puget Sound Chinook",135
"Dungeness River - summer Chinook salmon",2017,77.5418858359052,113.622967844794,136.069719542093,162.993584291532,235.612398879783,"Puget Sound Chinook",149
"Dungeness River - summer Chinook salmon",2018,78.6643788300727,112.377545158004,134.215365665599,161.05333208149,226.871375621642,"Puget Sound Chinook",127
"Dungeness River - summer Chinook salmon",2019,96.4222134492725,142.596720786812,170.931900808704,205.080005689532,296.017951930994,"Puget Sound Chinook",173
"Dungeness River - summer Chinook salmon",2020,131.14592851409,195.192056199307,239.185466939473,291.491706770913,409.375442686937,"Puget Sound Chinook",294
"Dungeness River - summer Chinook salmon",2021,148.264599635363,226.138156043103,274.084160879968,329.748135085269,463.49533280472,"Puget Sound Chinook",312
"Dungeness River - summer Chinook salmon",2022,153.871778816876,227.3612980138,277.063884134578,333.154689350758,494.016481380566,"Puget Sound Chinook",256
"Dungeness River - summer Chinook salmon",2023,139.574570883933,214.61487303206,265.539897493909,329.92438276853,498.473621349719,"Puget Sound Chinook",282
"Dungeness River - summer Chinook salmon",2024,33.7449581781284,136.041622339268,274.985766577488,568.356175081831,2167.40852940057,"Puget Sound Chinook",NA
"Dungeness River - summer Chinook salmon",2025,15.6864928282114,102.049459758622,291.473044587672,771.143691486267,4772.4616324523,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",1999,1.79737337743537,7.55195994295616,15.2851506833369,30.205473800169,125.516713516761,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2000,2.16522052755709,8.48598461541324,16.9261936713036,32.9539353494157,129.93751097534,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2001,2.25249077986281,8.44280690330042,17.0899501954252,33.3350585048913,130.194817882535,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2002,2.69541500492082,9.28051587944227,18.0414732505682,32.6829712594976,124.051107051289,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2003,3.03971397359603,10.327241737141,19.0754405765353,34.4085725925701,117.614990744586,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2004,3.77777596430695,12.3923607753255,22.7634960863194,39.2187805299375,128.626251709737,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2005,4.5209826719269,13.9146765748024,24.5798637632638,40.7325933627313,120.590457648836,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2006,5.08623751434961,14.4488392449854,24.4068135658744,39.188219585835,104.988394126845,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2007,6.13501567528785,14.4593296291756,22.4132826948332,34.093224310294,73.0723237024429,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2008,7.48097703660349,15.9431664414754,22.4163722867169,31.7387980427246,61.2083474693897,"Puget Sound Chinook",NA
"Elwha River - fall Chinook salmon",2009,11.8094058119271,17.1255890730736,21.1918862999602,26.2927459897168,42.3108489704484,"Puget Sound Chinook",14
"Elwha River - fall Chinook salmon",2010,18.3534434324585,25.606001888173,30.3903164992035,36.1198291667321,51.6079030866116,"Puget Sound Chinook",32
"Elwha River - fall Chinook salmon",2011,22.7103084581398,31.789073808566,38.3126118918803,45.8682817335124,66.8813225121287,"Puget Sound Chinook",24
"Elwha River - fall Chinook salmon",2012,48.4112497668448,68.2432371932377,81.6356530945025,98.3555328459775,140.981734590956,"Puget Sound Chinook",132
"Elwha River - fall Chinook salmon",2013,58.9376252138571,83.8562885173717,98.0585520755091,115.682157506098,157.808630493533,"Puget Sound Chinook",107
"Elwha River - fall Chinook salmon",2014,67.2022496698434,96.2709456049014,114.453249830709,135.191401244491,187.793731910254,"Puget Sound Chinook",121
"Elwha River - fall Chinook salmon",2015,81.2839217852291,114.153806857882,133.573965280716,158.086535877614,219.964526656224,"Puget Sound Chinook",159
"Elwha River - fall Chinook salmon",2016,84.1430731637685,116.129628122601,137.455184091106,162.642506649224,223.33319560529,"Puget Sound Chinook",125
