"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Cascade River - spring Chinook salmon",1999,82.4158605904945,115.86604645866,139.476120439355,168.374604362364,243.514173837201,"Puget Sound Chinook",83
"Cascade River - spring Chinook salmon",2000,175.148458826162,236.486459232849,272.042532327321,315.709836828712,424.084972182527,"Puget Sound Chinook",273
"Cascade River - spring Chinook salmon",2001,267.400215877103,365.951822771223,425.355788287066,492.22347812764,641.094670031095,"Puget Sound Chinook",625
"Cascade River - spring Chinook salmon",2002,264.130530948725,342.670088032293,391.252596522021,446.796320269647,587.167946974837,"Puget Sound Chinook",340
"Cascade River - spring Chinook salmon",2003,205.034414628999,265.936066674359,301.983916154984,342.884887494806,445.074667951642,"Puget Sound Chinook",298
"Cascade River - spring Chinook salmon",2004,273.989736827797,350.129741895855,393.95104830148,442.930528807036,562.274713529892,"Puget Sound Chinook",380
"Cascade River - spring Chinook salmon",2005,244.174790830054,314.315205046008,356.730215361554,403.767848013214,515.803091035513,"Puget Sound Chinook",420
"Cascade River - spring Chinook salmon",2006,326.554295133693,413.313075713971,463.918783299169,523.113759277148,666.652565179673,"Puget Sound Chinook",478
"Cascade River - spring Chinook salmon",2007,188.85106955464,243.259120062298,276.179028412736,314.555686211875,415.385834404974,"Puget Sound Chinook",223
"Cascade River - spring Chinook salmon",2008,261.522391341538,333.672533288036,379.060614004018,432.558365676556,578.88751973718,"Puget Sound Chinook",284
"Cascade River - spring Chinook salmon",2009,147.997165027505,193.499139816017,222.654942064012,256.867552945717,338.468461435315,"Puget Sound Chinook",338
"Cascade River - spring Chinook salmon",2010,169.29977895797,221.433902647927,254.531417544958,291.613109241805,377.591464921384,"Puget Sound Chinook",330
"Cascade River - spring Chinook salmon",2011,146.036172038959,188.578801582545,215.437130910107,245.885346516905,315.459983504416,"Puget Sound Chinook",265
"Cascade River - spring Chinook salmon",2012,295.095498985569,374.676548656597,424.711208618797,479.574159747851,615.401434054168,"Puget Sound Chinook",488
"Cascade River - spring Chinook salmon",2013,199.265766942868,255.173599447994,288.503279823097,326.208878002724,419.135190990256,"Puget Sound Chinook",310
"Cascade River - spring Chinook salmon",2014,136.801586256821,176.172839446858,198.625040573024,224.722200891569,287.284120250885,"Puget Sound Chinook",225
"Cascade River - spring Chinook salmon",2015,157.972959631104,200.658348927752,225.797681924248,255.19017633577,327.686689914002,"Puget Sound Chinook",188
"Cascade River - spring Chinook salmon",2016,220.762656409421,279.88322411532,314.352486585389,352.542258001866,447.065177457616,"Puget Sound Chinook",295
"Cascade River - spring Chinook salmon",2017,230.109290303887,294.781073835051,333.637106499943,375.842441085068,481.258403964356,"Puget Sound Chinook",323
"Cascade River - spring Chinook salmon",2018,118.078232054533,154.331838047221,178.134125713066,205.038493623839,265.691887114873,"Puget Sound Chinook",128
"Cascade River - spring Chinook salmon",2019,96.1648163437703,128.860810057297,147.410179052889,167.525726996863,216.608066836863,"Puget Sound Chinook",180
"Cascade River - spring Chinook salmon",2020,105.444562307403,138.361674836695,160.650370245919,187.733874795847,250.489241572198,"Puget Sound Chinook",115
"Cascade River - spring Chinook salmon",2021,115.021991120574,153.383996466794,177.635027103815,207.917043273817,281.763715408979,"Puget Sound Chinook",145
"Cascade River - spring Chinook salmon",2022,182.612846007014,262.9300567849,312.165131154331,368.361096722414,506.718807055977,"Puget Sound Chinook",410
"Cascade River - spring Chinook salmon",2023,98.3999322346246,163.19606544599,203.866191859738,256.800741903028,415.826898642147,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2024,91.0598505322763,159.421660028747,206.355841618141,270.224853604053,477.207327554981,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2025,82.6509824512075,155.346500814088,210.586213176227,284.19499420369,537.106902467062,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",1999,138.118944228277,310.209246559052,434.518073264445,608.507322345177,1260.59503411,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2000,267.329185194274,574.060808488734,781.739659933443,1071.88223520465,2041.65440688879,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2001,418.404649501401,843.736707055964,1138.13242236883,1513.41429928362,2760.94965260507,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2002,442.83031307571,796.346933586047,1034.51441628487,1338.90719213469,2300.7768864472,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2003,373.8832972561,610.853257175163,769.273388678656,957.662147761607,1527.06778855465,"Puget Sound Chinook",NA
"Cedar River - fall Chinook salmon",2004,593.318978258209,821.512278987072,958.460912757634,1126.64786911369,1588.55486043254,"Puget Sound Chinook",842
"Cedar River - fall Chinook salmon",2005,539.711822377019,723.942722905776,847.685115998486,996.695452767937,1395.20759881349,"Puget Sound Chinook",582
"Cedar River - fall Chinook salmon",2006,825.547777311742,1078.61000119401,1237.83848798878,1411.89586324612,1879.59825288739,"Puget Sound Chinook",1164
"Cedar River - fall Chinook salmon",2007,523.068752647961,723.584397675513,852.466816583953,1013.88537871342,1468.4226541977,"Puget Sound Chinook",1893
"Cedar River - fall Chinook salmon",2008,757.526861721036,1002.5001031179,1147.77541827176,1309.40368272265,1755.2730537333,"Puget Sound Chinook",1346
"Cedar River - fall Chinook salmon",2009,392.523543704994,501.048801401178,568.613632147624,643.720386603601,832.933612881953,"Puget Sound Chinook",577
"Cedar River - fall Chinook salmon",2010,426.798840244496,542.933759900168,613.780089543657,697.794267790094,912.899352255159,"Puget Sound Chinook",548
"Cedar River - fall Chinook salmon",2011,353.258103290999,461.911591449392,528.856067028526,602.988224177518,790.181225358343,"Puget Sound Chinook",646
"Cedar River - fall Chinook salmon",2012,719.419197602127,924.167064101565,1053.79250136313,1206.50970908668,1601.03611181201,"Puget Sound Chinook",881
"Cedar River - fall Chinook salmon",2013,504.189333962291,689.592180861011,815.121319938484,970.505437870559,1365.53986978297,"Puget Sound Chinook",1570
