"Q2.5.","Q25.","Q50.","Q75.","Q97.5.","COMMON_POPULATION_NAME","ESU"
-0.136919939801905,-0.0331956368209856,0.0149537726911349,0.0647447273573385,0.163300475072438,"Cascade River - spring Chinook salmon","Puget Sound Chinook"
-0.144078914618437,-0.0383509076700543,0.0123096054998668,0.0621769418004501,0.158621021441489,"Cedar River - fall Chinook salmon","Puget Sound Chinook"
-0.122933490386959,-0.0131155279999045,0.0368008721043657,0.0897406221801678,0.195714104536578,"Dungeness River - summer Chinook salmon","Puget Sound Chinook"
-0.0944737572246414,0.0242060293070175,0.0919590841813422,0.170917000420923,0.315369633023234,"Elwha River - fall Chinook salmon","Puget Sound Chinook"
-0.134493616675836,-0.0314305409167168,0.0185631749417248,0.0698593869332117,0.165728645492394,"Green River - fall Chinook salmon","Puget Sound Chinook"
-0.139306333028776,-0.0366664932902015,0.0125425925464832,0.061564900215034,0.157411284334348,"Lower Sauk River - summer Chinook salmon","Puget Sound Chinook"
-0.136715884347959,-0.0340190637650029,0.0146930398345352,0.064110104982378,0.163299487874772,"Lower Skagit River - fall Chinook salmon","Puget Sound Chinook"
-0.124390851490776,-0.0208582690434255,0.0291110913414763,0.0786674443258048,0.179855092032842,"Nisqually River - fall Chinook salmon","Puget Sound Chinook"
-0.136242844449257,-0.0282410830867451,0.022282452637688,0.0715599940672071,0.172678438681114,"North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon","Puget Sound Chinook"
-0.154644146500996,-0.0439255783389217,0.007517230966764,0.0562895220279261,0.157251290718445,"North Fork Stillaguamish River - summer Chinook salmon","Puget Sound Chinook"
-0.13805830801477,-0.0328913750196203,0.018145601498168,0.0695204656660055,0.171659949600405,"Skokomish River - fall Chinook salmon","Puget Sound Chinook"
-0.140604626987838,-0.0377845292304031,0.0115122440713343,0.0596466406298509,0.153784576604269,"Skykomish River - summer Chinook salmon","Puget Sound Chinook"
-0.159855250652956,-0.0548635853179287,-0.00521780536320493,0.0428497123198118,0.140289406394793,"Snoqualmie River - fall Chinook salmon","Puget Sound Chinook"
-0.154812851421471,-0.0388329967137429,0.015427600382633,0.0677610130590954,0.178296858323874,"South Fork Nooksack River - spring Chinook salmon","Puget Sound Chinook"
-0.157973561061265,-0.0479043086209556,0.00442464186726785,0.0563009853698274,0.152355154091282,"South Fork Stillaguamish River - fall Chinook salmon","Puget Sound Chinook"
-0.127427818598616,-0.0227268026022997,0.0268501481323358,0.076570962116782,0.174896924186449,"Suiattle River - spring Chinook salmon","Puget Sound Chinook"
-0.0970712344269845,0.00938594000139475,0.0588524795279433,0.111248460251875,0.216085159445905,"Upper Sauk River - spring Chinook salmon","Puget Sound Chinook"
-0.13035833156759,-0.027233152530876,0.0208905255776379,0.069077817864512,0.166789268675892,"Upper Skagit River - summer Chinook salmon","Puget Sound Chinook"
-0.130374651633184,-0.0254669328076873,0.0220776825864772,0.072972883356359,0.169877833147786,"White River - spring Chinook salmon","Puget Sound Chinook"
