"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Cascade River - spring Chinook salmon",1999,79.8283107974102,114.270489114033,137.364869568826,165.963902195034,241.362725479445,"Puget Sound Chinook",83
"Cascade River - spring Chinook salmon",2000,172.232313990261,235.25799028653,271.064868713966,312.993357514549,417.1893074483,"Puget Sound Chinook",273
"Cascade River - spring Chinook salmon",2001,265.759945112145,365.354628145021,426.571049059018,489.847271634606,642.216814173983,"Puget Sound Chinook",625
"Cascade River - spring Chinook salmon",2002,262.307145773435,342.59327532381,390.860152509686,447.985228524524,599.850307879358,"Puget Sound Chinook",340
"Cascade River - spring Chinook salmon",2003,208.264157960819,266.718007750852,302.861994819938,344.613577325402,454.010404580421,"Puget Sound Chinook",298
"Cascade River - spring Chinook salmon",2004,277.733502748718,350.060894710993,396.701740107379,446.733666704375,573.775790420993,"Puget Sound Chinook",380
"Cascade River - spring Chinook salmon",2005,242.485319129024,316.20786350063,359.710781477485,409.361805072003,520.663705561621,"Puget Sound Chinook",420
"Cascade River - spring Chinook salmon",2006,325.495017775856,413.195901017209,466.195575447569,522.830702946659,669.841589169717,"Puget Sound Chinook",478
"Cascade River - spring Chinook salmon",2007,187.292433765648,242.912706609464,277.309167282652,316.595397891851,413.724879952223,"Puget Sound Chinook",223
"Cascade River - spring Chinook salmon",2008,255.892196487926,332.408629434674,380.624632786969,436.629825641903,584.044779711269,"Puget Sound Chinook",284
"Cascade River - spring Chinook salmon",2009,144.992428617656,193.146121915414,222.835358356327,258.396226566966,343.855455539087,"Puget Sound Chinook",338
"Cascade River - spring Chinook salmon",2010,172.23908838015,225.525110560212,258.307503384212,297.62657303066,382.641743701073,"Puget Sound Chinook",330
"Cascade River - spring Chinook salmon",2011,144.691067193042,187.721057424995,215.165429211888,246.192683268466,318.800268379297,"Puget Sound Chinook",265
"Cascade River - spring Chinook salmon",2012,297.833194070833,381.470246699807,432.308079743572,489.807698887643,635.288268753482,"Puget Sound Chinook",488
"Cascade River - spring Chinook salmon",2013,201.151234670841,257.979782964733,290.944834097459,327.938538600887,417.481999591378,"Puget Sound Chinook",310
"Cascade River - spring Chinook salmon",2014,138.534569837576,179.492798576622,203.216614619645,229.03243206115,296.91594170417,"Puget Sound Chinook",225
"Cascade River - spring Chinook salmon",2015,157.875100944148,200.511505357555,228.1089298824,257.795017288452,333.197603881372,"Puget Sound Chinook",188
"Cascade River - spring Chinook salmon",2016,215.01670653644,274.48910770137,309.830531034604,349.784592640654,439.566250100373,"Puget Sound Chinook",295
"Cascade River - spring Chinook salmon",2017,224.636396343001,287.908720135477,328.233858389296,369.745772677352,473.48736581385,"Puget Sound Chinook",323
"Cascade River - spring Chinook salmon",2018,116.198515131917,151.921873578465,175.603473821494,202.50795012135,268.259846222019,"Puget Sound Chinook",128
"Cascade River - spring Chinook salmon",2019,97.5027495133001,131.049267620089,149.797756298139,170.558529209857,221.651775847252,"Puget Sound Chinook",180
"Cascade River - spring Chinook salmon",2020,103.984508576916,139.199326532949,161.580075001986,187.131176936299,251.664062990034,"Puget Sound Chinook",115
"Cascade River - spring Chinook salmon",2021,114.891061711086,151.731731841293,175.912626280089,204.187096340257,279.162570661496,"Puget Sound Chinook",145
"Cascade River - spring Chinook salmon",2022,177.559512615491,257.954604457381,306.710946181871,363.364937674936,496.53492842265,"Puget Sound Chinook",410
"Cascade River - spring Chinook salmon",2023,102.033581094655,165.593223648161,210.074235504039,265.853587115197,436.035023817489,"Puget Sound Chinook",NA
"Cascade River - spring Chinook salmon",2024,93.6880806087001,161.575814580471,212.308336482764,280.624879763861,504.611355162818,"Puget Sound Chinook",NA
