"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Hood Canal - summer chum salmon",1999,1370.25179030649,2214.89827915021,2697.62686354441,3351.58493891687,5610.27328785902,"Hood Canal summer chum",2470
"Hood Canal - summer chum salmon",2000,3060.90984463318,4982.27259849575,6283.4787797163,7678.6299133944,10711.7850765095,"Hood Canal summer chum",8281
"Hood Canal - summer chum salmon",2001,4654.45802032664,6524.30167748981,7726.48805664653,9149.48731802746,14262.9566865561,"Hood Canal summer chum",7204
"Hood Canal - summer chum salmon",2002,5852.25161154308,8327.70713995693,10502.6669336856,13407.1519477198,22696.4092949188,"Hood Canal summer chum",6859
"Hood Canal - summer chum salmon",2003,11547.257032571,18474.3278243149,22631.3632756619,27163.9827572856,38373.8352666137,"Hood Canal summer chum",27335
"Hood Canal - summer chum salmon",2004,13348.6354341631,23158.5188625552,30730.5709808426,41084.7810321015,64834.0589172964,"Hood Canal summer chum",60374
"Hood Canal - summer chum salmon",2005,9542.11904987575,13582.7125931107,16616.1520973694,20907.7333787718,34874.6120986441,"Hood Canal summer chum",11348
"Hood Canal - summer chum salmon",2006,10018.3105301484,15467.0392766326,18578.7192325054,22026.9993595585,30991.9052984009,"Hood Canal summer chum",21389
"Hood Canal - summer chum salmon",2007,6643.34116582689,9207.33721976089,10800.5838955234,12900.146435111,18940.6451044766,"Hood Canal summer chum",9376
"Hood Canal - summer chum salmon",2008,6492.31562265801,9506.40034565297,11351.1449364285,13482.6874796224,18776.5214468334,"Hood Canal summer chum",13573
"Hood Canal - summer chum salmon",2009,4939.88298635771,6833.80054786973,8156.59036349918,9810.47827739724,14877.4482192829,"Hood Canal summer chum",6570
"Hood Canal - summer chum salmon",2010,6602.87943961157,9369.92174525971,10991.2496308837,13019.9021058,18859.1290855505,"Hood Canal summer chum",11294
"Hood Canal - summer chum salmon",2011,5550.07494411093,7715.70176316833,9718.2857962038,12189.5556318982,19444.306943489,"Hood Canal summer chum",6568
"Hood Canal - summer chum salmon",2012,10214.3180403382,15669.7123698299,19250.9938558254,23351.7044749137,32488.6882421864,"Hood Canal summer chum",26501
"Hood Canal - summer chum salmon",2013,13824.2119286585,19185.0389469854,22521.9668255456,26734.8767292745,38873.1698773205,"Hood Canal summer chum",19965
"Hood Canal - summer chum salmon",2014,15940.0166658811,22612.3941620469,26358.7513193921,30909.1857160152,43137.2117513572,"Hood Canal summer chum",26830
"Hood Canal - summer chum salmon",2015,20467.343637684,28976.2580650992,33863.2935073117,40266.5660820949,59098.7940598774,"Hood Canal summer chum",31294
"Hood Canal - summer chum salmon",2016,20864.446509696,33089.4007359619,40691.4244956139,48458.9700839785,70781.0871229662,"Hood Canal summer chum",47366
"Hood Canal - summer chum salmon",2017,10328.0944220209,20725.0453252423,29042.4136777275,40416.2694024088,60720.2175451833,"Hood Canal summer chum",53470
"Hood Canal - summer chum salmon",2018,6823.73141160958,10315.6875088348,12415.332335659,14872.3837161959,22435.5954280871,"Hood Canal summer chum",12201
"Hood Canal - summer chum salmon",2019,5882.68084092348,8227.16016079617,9979.93037724224,12372.2429729541,19184.183730526,"Hood Canal summer chum",7435
"Hood Canal - summer chum salmon",2020,6268.03119523996,8764.42101162428,10450.3728153547,12618.6898149472,19447.251312529,"Hood Canal summer chum",8478
"Hood Canal - summer chum salmon",2021,8926.68999365776,13321.0300450548,15779.1299952892,18625.739274335,26843.9392277832,"Hood Canal summer chum",16949
"Hood Canal - summer chum salmon",2022,13750.3186821282,21434.8823373298,26061.6068581243,31169.1255423799,43629.3744532554,"Hood Canal summer chum",31277
"Hood Canal - summer chum salmon",2023,10813.0329080307,16334.5487831917,19590.9318536391,23506.1854236388,36468.7963729167,"Hood Canal summer chum",18532
"Hood Canal - summer chum salmon",2024,7598.33942815433,15416.8313261116,21366.2112463093,29672.4857136275,58664.223439366,"Hood Canal summer chum",NA
"Hood Canal - summer chum salmon",2025,6077.51130293548,15220.1955383468,23048.4856993586,35491.7180831819,93299.1769102831,"Hood Canal summer chum",NA
"Strait of Juan de Fuca - summer chum salmon",1999,113.471403545367,168.500717996435,210.760948476291,282.294556481456,578.491298709691,"Hood Canal summer chum",155
"Strait of Juan de Fuca - summer chum salmon",2000,339.004161685387,486.970922066696,580.753525418276,725.048882823897,1215.74473743229,"Hood Canal summer chum",507
"Strait of Juan de Fuca - summer chum salmon",2001,739.11567857787,1151.93385011969,1381.2608342963,1637.48293900606,2406.65018599868,"Hood Canal summer chum",1473
"Strait of Juan de Fuca - summer chum salmon",2002,1457.29038352725,2305.78363203327,2906.90372754681,3617.77044522465,5258.85038127479,"Hood Canal summer chum",4220
"Strait of Juan de Fuca - summer chum salmon",2003,2655.20974065153,3771.97085518017,4421.05717913179,5226.72602974186,7673.04530048835,"Hood Canal summer chum",4281
"Strait of Juan de Fuca - summer chum salmon",2004,3416.08420995058,4948.83915191548,5876.4987182926,7011.18172613195,10290.6551701108,"Hood Canal summer chum",5671
"Strait of Juan de Fuca - summer chum salmon",2005,2930.74462899484,4442.28740153552,5307.12651933023,6215.14419244209,8787.71182478547,"Hood Canal summer chum",5999
"Strait of Juan de Fuca - summer chum salmon",2006,3048.17566030505,4642.71764702333,5572.97670518499,6574.68963307125,9110.81379334425,"Hood Canal summer chum",6372
"Strait of Juan de Fuca - summer chum salmon",2007,1959.76104204073,2771.29844723403,3261.66714437017,3878.65666255244,5701.51768053786,"Hood Canal summer chum",3011
"Strait of Juan de Fuca - summer chum salmon",2008,1956.42127009626,2752.33381944368,3229.75225317712,3802.94330262047,5502.07506762956,"Hood Canal summer chum",3011
"Strait of Juan de Fuca - summer chum salmon",2009,1807.02572709262,2504.76469165399,2949.41954866601,3518.44439874885,5130.61209959435,"Hood Canal summer chum",2659
"Strait of Juan de Fuca - summer chum salmon",2010,2666.4678128284,3877.59023147551,4717.83602537046,5636.54034919021,7722.84987940377,"Hood Canal summer chum",5923
"Strait of Juan de Fuca - summer chum salmon",2011,2386.63953639945,3498.06966497653,4126.83155032832,4895.01281039286,7049.29574320272,"Hood Canal summer chum",4059
"Strait of Juan de Fuca - summer chum salmon",2012,3504.81085669231,4942.83197366283,5865.97327524667,7016.19245963676,10544.6769280909,"Hood Canal summer chum",4975
"Strait of Juan de Fuca - summer chum salmon",2013,4655.46183894677,7328.3121402664,8975.88701032471,10853.3003657376,14863.3594358713,"Hood Canal summer chum",12042
"Strait of Juan de Fuca - summer chum salmon",2014,4945.05850135567,6978.30722961458,8319.83183557623,9884.9815259462,14564.6631926038,"Hood Canal summer chum",7198
"Strait of Juan de Fuca - summer chum salmon",2015,5766.52749779472,9111.95786799439,11356.4362197484,13653.5965963041,19135.280625788,"Hood Canal summer chum",15532
"Strait of Juan de Fuca - summer chum salmon",2016,4588.682148562,7078.20298812218,8536.42747029828,10264.7931776455,14864.2509907177,"Hood Canal summer chum",9076
"Strait of Juan de Fuca - summer chum salmon",2017,1766.65483566967,2582.16638211437,3445.05691597821,4950.21036465599,10225.3948585875,"Hood Canal summer chum",2113
"Strait of Juan de Fuca - summer chum salmon",2018,1252.8065575246,1780.50637441189,2250.25721709481,2942.95838964078,5086.09401674416,"Hood Canal summer chum",1567
"Strait of Juan de Fuca - summer chum salmon",2019,1831.96958406271,2943.0717360512,3578.1404669714,4340.55235251645,6130.84878053805,"Hood Canal summer chum",4830
"Strait of Juan de Fuca - summer chum salmon",2020,2217.85872202071,3184.18838531057,3770.16258092322,4444.58356827957,6303.86238032637,"Hood Canal summer chum",3933
"Strait of Juan de Fuca - summer chum salmon",2021,2729.25703645457,3851.08898929992,4550.07166352091,5464.2347764017,8121.47291941532,"Hood Canal summer chum",3812
"Strait of Juan de Fuca - summer chum salmon",2022,4224.84679711775,6749.52289427279,8345.30096165458,10036.8449677772,13987.3547246512,"Hood Canal summer chum",11031
