"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - fall Chinook salmon",1999,34.7088756710061,263.592259332402,692.542255182723,1748.12392157137,12587.1961396501,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2000,43.1779358817849,268.962637070055,661.988619321847,1635.61749091468,10334.0027634857,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2001,49.8466376729203,283.21849617566,663.056482157632,1479.31438593751,7821.6969250006,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2002,57.4730763432231,300.283810202537,645.029479517556,1403.17434741831,6752.78187450504,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2003,68.4102818915832,306.822580739947,634.41090885501,1289.43251014585,5190.68055830158,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2004,76.605114731351,319.379291504196,615.716821224957,1179.58005214921,4352.13004864041,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2005,93.9729772237777,324.819947051009,608.676206182908,1077.77702950053,3564.1715162652,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2006,107.184096659781,338.462717808207,590.704784514167,998.951692850423,3010.80316327392,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2007,121.421597876673,353.040310785225,572.221463130737,936.265247507382,2411.16981873603,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2008,171.321997876045,423.831014114568,625.730409996282,940.862049147312,2087.03116806614,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2009,261.662889293197,492.657214707948,663.687340619456,896.443902583036,1682.19483855485,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2010,336.070888058441,452.367108327266,527.216739391851,622.742255677806,914.420534098583,"Lower Columbia Chinook",436
"Coweeman River - fall Chinook salmon",2011,402.352746303258,519.263942993501,584.99084468028,664.55794991125,870.437531632905,"Lower Columbia Chinook",579
"Coweeman River - fall Chinook salmon",2012,302.394079371892,388.727548853213,440.93377974468,498.884600370838,654.7392188811,"Lower Columbia Chinook",425
"Coweeman River - fall Chinook salmon",2013,653.550269627879,892.68579153061,1041.91739465755,1218.03922562836,1591.49845839402,"Lower Columbia Chinook",1464
"Coweeman River - fall Chinook salmon",2014,548.236032089807,698.593408968298,784.669177941053,888.708199228948,1161.30115114297,"Lower Columbia Chinook",774
"Coweeman River - fall Chinook salmon",2015,612.372076334087,840.405320447933,986.116877554256,1147.19194333115,1514.67489126963,"Lower Columbia Chinook",1331
"Coweeman River - fall Chinook salmon",2016,369.585249274528,499.069970279333,589.06087225869,697.258330967819,973.794337032873,"Lower Columbia Chinook",361
"Coweeman River - fall Chinook salmon",2017,365.251050465583,490.728304661507,566.945856384301,655.441080185888,843.487300128894,"Lower Columbia Chinook",759
"Coweeman River - fall Chinook salmon",2018,191.276352101263,250.137712470832,289.564277404553,337.163988857264,464.849026848442,"Lower Columbia Chinook",229
"Coweeman River - fall Chinook salmon",2019,254.687204482137,329.659047740265,376.958555173652,432.135735460078,569.997436323844,"Lower Columbia Chinook",312
"Coweeman River - fall Chinook salmon",2020,443.763948326645,602.887423005031,691.869644936133,797.093538051211,1020.4915849802,"Lower Columbia Chinook",879
"Coweeman River - fall Chinook salmon",2021,371.581324684759,483.094110683773,547.36155569103,618.059468588726,802.327244347825,"Lower Columbia Chinook",596
"Coweeman River - fall Chinook salmon",2022,327.086494447802,414.963856234167,467.753383581352,529.124992643848,680.242757039993,"Lower Columbia Chinook",443
"Coweeman River - fall Chinook salmon",2023,308.54722476,417.421190461297,479.583899046287,557.798628856987,776.362696891336,"Lower Columbia Chinook",440
"Coweeman River - fall Chinook salmon",2024,215.713710705243,371.917489024523,473.42796115583,600.62838563285,1015.7012847734,"Lower Columbia Chinook",NA
"Coweeman River - fall Chinook salmon",2025,160.367759661768,336.570615627199,462.747973183232,635.407309365312,1290.66645219635,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",1999,5.72014889442464,70.5362449411161,207.963316018216,649.689307448918,8571.49874797543,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2000,7.78389802335453,72.3028909885687,205.20365538093,607.749361412267,6813.99738705653,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2001,9.75239306296939,77.793597247355,202.943376059999,556.117989709041,4589.57477145214,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2002,13.0489171046649,84.4258994641388,207.111239941219,509.138228217143,4011.22205871719,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2003,15.8210398203022,90.194745201577,204.43797074493,478.54034821336,2983.10665649117,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2004,20.6287427885941,94.6939132430962,200.898470689287,439.585599541856,2353.02760734937,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2005,25.4571756196189,100.049656756173,197.606675404427,397.75972486956,1847.36235844802,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2006,32.4896039340087,110.119825512095,198.365863071965,366.074436542636,1522.73153083987,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2007,41.8455454125296,117.999728604756,197.019235011772,332.961242651748,1195.46375763725,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2008,64.0051392489209,144.727250226867,213.286716552204,313.815372658188,768.489731603796,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2009,121.55127181685,191.034042268214,232.19245705926,272.707705474879,375.671146571537,"Lower Columbia Chinook",268
"Elochoman River - fall Chinook salmon",2010,89.0304649835713,126.943473339725,149.412950275545,173.917780109681,237.358136954706,"Lower Columbia Chinook",167
"Elochoman River - fall Chinook salmon",2011,50.202694541186,68.7353960689097,79.6011275062686,93.9109924480676,131.98238910674,"Lower Columbia Chinook",73
"Elochoman River - fall Chinook salmon",2012,26.1460051374403,37.5671690973069,44.483627176194,52.6502034432009,75.7911068406869,"Lower Columbia Chinook",36
"Elochoman River - fall Chinook salmon",2013,59.2443824819004,81.6352162800623,97.1973875219401,116.88484049711,167.902581056452,"Lower Columbia Chinook",70
"Elochoman River - fall Chinook salmon",2014,77.5163020677847,107.890730785905,128.043635748181,149.920390229529,202.02855862151,"Lower Columbia Chinook",168
"Elochoman River - fall Chinook salmon",2015,100.727279718365,144.763672286374,173.56908303325,205.026859001091,276.048784691365,"Lower Columbia Chinook",222
"Elochoman River - fall Chinook salmon",2016,60.468166858371,80.2673869514153,93.4630438788991,108.373679506038,152.753354660284,"Lower Columbia Chinook",77
"Elochoman River - fall Chinook salmon",2017,45.2556032388073,61.3465007754903,71.0068121995392,81.7829396055805,110.055150460864,"Lower Columbia Chinook",74
"Elochoman River - fall Chinook salmon",2018,21.0306646592904,30.2061357375247,35.9781265881763,42.6388407686059,60.0135116056185,"Lower Columbia Chinook",34
"Elochoman River - fall Chinook salmon",2019,29.319121874935,40.7184486083773,48.4230284397275,57.1443941218263,81.4875080613918,"Lower Columbia Chinook",39
"Elochoman River - fall Chinook salmon",2020,57.9516299006937,78.4963228790584,90.8588596915649,105.540236162248,143.829123117484,"Lower Columbia Chinook",86
"Elochoman River - fall Chinook salmon",2021,61.6571974798205,84.9165601780662,97.9910864602441,112.420403252084,147.109598148051,"Lower Columbia Chinook",103
"Elochoman River - fall Chinook salmon",2022,77.0434154300236,104.134616562006,119.557303888107,138.755422688437,188.138879589922,"Lower Columbia Chinook",118
"Elochoman River - fall Chinook salmon",2023,98.1762307492102,152.994523108809,184.091832307558,218.48569461894,301.971294759735,"Lower Columbia Chinook",224
"Elochoman River - fall Chinook salmon",2024,63.466866959366,127.367236514975,178.345590615717,249.367666020624,496.499543603125,"Lower Columbia Chinook",NA
"Elochoman River - fall Chinook salmon",2025,45.3761679041071,114.371374088637,179.098509134163,277.571182287557,696.127867892473,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",1999,16.0344628170836,111.417761356289,309.246455155642,851.828312061223,7108.08992458352,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2000,18.8263063288239,126.486824786802,327.042394622714,858.367399164274,6112.47446541657,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2001,24.5679544368415,144.160784465752,352.675566959872,860.347953585449,5273.75168199011,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2002,32.6771842963845,165.177844081218,375.08078187941,847.698508629156,4444.56450322271,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2003,42.3853333055505,184.983066429337,399.025226070431,858.732115626805,4106.34813779404,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2004,56.97536529759,212.060076129631,422.361850544749,841.882305653376,3625.3684527133,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2005,74.7052879832505,242.248439345684,453.309983245148,855.384805148184,2978.75016143793,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2006,92.9721712204379,270.700694202326,485.820349418345,859.569574092474,2716.33544833602,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2007,115.03862242334,304.742890592804,519.203849712382,867.169698794901,2487.56128044128,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2008,172.39339803144,394.610828589682,604.169613994373,910.554126000534,2233.20037976598,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2009,267.634720581212,512.524506228609,688.551325197022,937.739984617854,1828.61909264174,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2010,369.424044962351,525.04491955245,611.289717479397,707.506552015003,958.810752586485,"Lower Columbia Chinook",674
"Kalama River - fall Chinook salmon",2011,363.359007821507,479.461130364846,552.279534598682,639.61676428326,872.704305075176,"Lower Columbia Chinook",443
"Kalama River - fall Chinook salmon",2012,307.24562134413,397.506828480094,451.331572001655,513.510144494457,682.010424438687,"Lower Columbia Chinook",439
"Kalama River - fall Chinook salmon",2013,763.004106339617,986.401456399172,1113.83845989409,1259.86379840905,1634.34484289818,"Lower Columbia Chinook",1080
"Kalama River - fall Chinook salmon",2014,767.303781900405,997.95343757662,1154.08082218432,1337.31216322398,1861.34118020299,"Lower Columbia Chinook",845
"Kalama River - fall Chinook salmon",2015,1438.28026197734,2011.19079520312,2340.47226655533,2706.33403051824,3529.66247275841,"Lower Columbia Chinook",2889
"Kalama River - fall Chinook salmon",2016,1272.6704459369,1742.46085205067,2017.26737177791,2334.76028851105,2978.18550108673,"Lower Columbia Chinook",2554
"Kalama River - fall Chinook salmon",2017,1268.22537487364,1631.11935857183,1840.90532083581,2076.03284349052,2723.93845719595,"Lower Columbia Chinook",1788
"Kalama River - fall Chinook salmon",2018,845.995642452337,1150.68744588536,1324.97786968253,1525.88174700112,2005.07415830206,"Lower Columbia Chinook",1545
"Kalama River - fall Chinook salmon",2019,1071.49698539664,1393.06745926317,1575.78076928532,1790.33715825663,2343.46999890149,"Lower Columbia Chinook",1530
"Kalama River - fall Chinook salmon",2020,1712.29214225772,2224.11877742484,2507.32655009181,2838.11634522904,3599.95271261958,"Lower Columbia Chinook",2555
"Kalama River - fall Chinook salmon",2021,1425.35875067652,1817.3134866737,2063.89121422602,2325.25287049225,2993.52550668789,"Lower Columbia Chinook",1923
"Kalama River - fall Chinook salmon",2022,1507.02381459882,1971.03042563892,2227.25275661705,2496.44534257762,3160.68691987993,"Lower Columbia Chinook",2330
"Kalama River - fall Chinook salmon",2023,1658.96181646503,2224.40650416515,2556.64953668921,2943.26169752188,3996.36655093867,"Lower Columbia Chinook",2383
"Kalama River - fall Chinook salmon",2024,1243.02242547748,2136.4870295168,2767.1391667364,3534.81260126239,5843.48349050872,"Lower Columbia Chinook",NA
"Kalama River - fall Chinook salmon",2025,962.916058830511,2096.98333869378,2929.05307379493,4040.0378922473,7966.3610627801,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",1999,2.22546647583158,16.8621077742023,43.7231634472377,119.515228296947,1043.77159614242,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2000,2.74322538802609,18.7562749189236,44.0656516783857,107.509650443294,785.807945827294,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2001,3.22674728950844,20.4260389656689,44.0383150336718,98.467015492536,605.248161081839,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2002,4.08160861677475,21.8176904067898,44.2027871737465,89.1329709172478,483.938480523051,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2003,5.3330389602371,23.3780249688756,43.2409598066886,80.5195210279296,376.525430275572,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2004,7.55853829615964,24.772803762915,42.8579826808571,73.8669340435144,271.629538011959,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2005,10.1650326090431,26.5005949356761,42.0023619234288,68.3985495956759,181.418743595819,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2006,13.7338115831258,29.6272355239876,42.258618898677,60.0109092539971,123.5676593235,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2007,23.0754064389401,34.5047268881276,41.616909549444,50.5476942677208,75.0051931361369,"Lower Columbia Chinook",37
"Kalama River - spring Chinook salmon",2008,34.7301471936836,48.8116077522561,57.4845271892503,68.0480546744199,96.2147415315826,"Lower Columbia Chinook",59
"Kalama River - spring Chinook salmon",2009,44.5438370204802,62.6979473905346,72.8500130460387,85.4066217713417,116.829178189184,"Lower Columbia Chinook",80
"Kalama River - spring Chinook salmon",2010,36.8703184872377,50.7494381471293,59.6943940139835,72.1040802787943,106.969313288026,"Lower Columbia Chinook",46
"Kalama River - spring Chinook salmon",2011,55.0145766782058,86.6712788366473,111.704270097576,137.911160926509,196.64132854869,"Lower Columbia Chinook",172
"Kalama River - spring Chinook salmon",2012,40.5740292572218,60.6034879679226,71.9869666153388,84.7235636515843,115.464191054247,"Lower Columbia Chinook",81
"Kalama River - spring Chinook salmon",2013,61.4229180224097,86.9842919445492,100.766142492337,117.44431342706,160.843457214172,"Lower Columbia Chinook",107
"Kalama River - spring Chinook salmon",2014,35.7282377268053,49.3760975776706,57.1344108998415,66.8540459068877,93.2474961791694,"Lower Columbia Chinook",55
"Kalama River - spring Chinook salmon",2015,25.9032591993122,36.8521980667401,44.7671811535431,55.5261861498036,87.0683883447056,"Lower Columbia Chinook",31
"Kalama River - spring Chinook salmon",2016,20.8340433431824,29.5328096786811,35.5107376290534,43.1595129427145,64.9443951806714,"Lower Columbia Chinook",28
"Kalama River - spring Chinook salmon",2017,32.7723679630404,45.9765752170665,53.8264622893024,62.3483100657936,83.4766053409077,"Lower Columbia Chinook",60
"Kalama River - spring Chinook salmon",2018,26.831849823746,38.7326088538974,46.2401716065218,55.1067161083381,77.4667415595317,"Lower Columbia Chinook",57
"Kalama River - spring Chinook salmon",2019,34.3990968918136,46.7459440225571,54.3678553694431,63.737658072595,87.7200766191645,"Lower Columbia Chinook",52
"Kalama River - spring Chinook salmon",2020,49.6563017986084,68.0387310106694,79.2830307495455,93.0519417572491,129.189608833458,"Lower Columbia Chinook",73
"Kalama River - spring Chinook salmon",2021,44.1972589328729,64.9541639497642,77.182419052071,90.5055787514172,127.142359878787,"Lower Columbia Chinook",85
"Kalama River - spring Chinook salmon",2022,22.7960452817824,47.2483991517464,65.5384927285247,90.8685523198527,183.285416589415,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2023,16.1048443598151,43.8407510646749,68.3296932801734,105.13350707683,286.505512482157,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2024,12.2688653351513,38.9050703021083,67.7726846504866,115.036305483104,384.043469007047,"Lower Columbia Chinook",NA
"Kalama River - spring Chinook salmon",2025,9.22548972902283,35.7292925236562,67.569418031864,123.128415862094,496.944862453865,"Lower Columbia Chinook",NA
"Lewis River - fall Chinook salmon",1999,104.501259738617,623.028827302485,1428.04965,3393.7297879572,22112.4147279095,"Lower Columbia Chinook",NA
"Lewis River - fall Chinook salmon",2000,124.825212742113,652.067475219177,1455.46351527166,3247.46548165591,17859.6853804882,"Lower Columbia Chinook",NA
