"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Grays and Chinook Rivers - fall Chum salmon",1999,899.599399185687,2527.24346257297,4180.68046205597,6943.91663313483,19150.1140222452,"Lower Columbia chum",NA
"Grays and Chinook Rivers - fall Chum salmon",2000,1459.85831947455,2812.68967138099,3912.89999085977,5496.24757501427,11044.7510564831,"Lower Columbia chum",NA
"Grays and Chinook Rivers - fall Chum salmon",2001,3087.51502836929,4082.4230219171,4671.46257825666,5475.14682108121,8646.67485392134,"Lower Columbia chum",4246
"Grays and Chinook Rivers - fall Chum salmon",2002,7626.30864879591,10008.8471926114,11289.441935071,12924.9079292057,18321.7953094348,"Lower Columbia chum",10493
"Grays and Chinook Rivers - fall Chum salmon",2003,8819.24739961122,12423.8676934717,14128.8289897142,15792.8689899778,19913.681864652,"Lower Columbia chum",15559
"Grays and Chinook Rivers - fall Chum salmon",2004,6647.10713855943,9875.77371154936,11508.6380575432,12868.4814944398,16196.2032710885,"Lower Columbia chum",13151
"Grays and Chinook Rivers - fall Chum salmon",2005,3092.37015481011,3836.79568681345,4309.57441318795,4948.89637432725,6718.34927465975,"Lower Columbia chum",3795
"Grays and Chinook Rivers - fall Chum salmon",2006,3555.23334823439,4827.71630521673,5536.12083439983,6170.89962950436,7822.28371187737,"Lower Columbia chum",6162
"Grays and Chinook Rivers - fall Chum salmon",2007,2158.11511559606,2959.62534220048,3379.8111727752,3782.03753299995,4818.18743620051,"Lower Columbia chum",3817
"Grays and Chinook Rivers - fall Chum salmon",2008,1821.12027610102,2302.00652922722,2558.06074784097,2879.49282814555,3823.64648503424,"Lower Columbia chum",2401
"Grays and Chinook Rivers - fall Chum salmon",2009,2138.87586484993,2678.38917701342,3008.98625289662,3432.62903539152,4590.20561478247,"Lower Columbia chum",2776
"Grays and Chinook Rivers - fall Chum salmon",2010,4434.87914575164,5695.11722270941,6350.23593487461,7111.94726818208,9132.90255504737,"Lower Columbia chum",6082
"Grays and Chinook Rivers - fall Chum salmon",2011,6787.19714438027,8961.1812608764,10052.5980402509,11318.7656636305,14495.5590409372,"Lower Columbia chum",10052
"Grays and Chinook Rivers - fall Chum salmon",2012,4928.49368901732,6538.2807587579,7364.62709460518,8185.32108131527,10372.1170692987,"Lower Columbia chum",7782
"Grays and Chinook Rivers - fall Chum salmon",2013,3343.62680801525,4325.84258876936,4858.88414798225,5430.2106639716,7088.8746840542,"Lower Columbia chum",4832
"Grays and Chinook Rivers - fall Chum salmon",2014,3439.02250265255,4281.20417734754,4793.8534972153,5473.6979841597,7490.41948388186,"Lower Columbia chum",4267
"Grays and Chinook Rivers - fall Chum salmon",2015,8022.42408492586,10352.7568584264,11617.7251457319,13215.4943065304,17872.6255052824,"Lower Columbia chum",10857
"Grays and Chinook Rivers - fall Chum salmon",2016,9857.90290569967,16563.908754693,20776.0070740031,25436.3979960014,33171.3247158939,"Lower Columbia chum",30408
"Grays and Chinook Rivers - fall Chum salmon",2017,4051.81317751032,5518.36789762421,6251.12438597634,7091.77240301877,9638.36169839453,"Lower Columbia chum",6217
"Grays and Chinook Rivers - fall Chum salmon",2018,5131.84110069506,6390.3690802536,7264.18372465286,8391.57788173389,11621.6323712023,"Lower Columbia chum",6320
"Grays and Chinook Rivers - fall Chum salmon",2019,5104.88644161812,6509.2078785521,7238.29047022734,8170.32294569682,10988.6542264001,"Lower Columbia chum",7002
"Grays and Chinook Rivers - fall Chum salmon",2020,6532.8960503674,9156.27185516514,10678.0933177401,12153.252866469,15213.6339472697,"Lower Columbia chum",12726
"Grays and Chinook Rivers - fall Chum salmon",2021,9765.00175145059,13439.0877403286,15275.5090435808,17037.1781486447,21025.24672982,"Lower Columbia chum",16760
"Grays and Chinook Rivers - fall Chum salmon",2022,8306.08727344357,10907.2688938136,12258.4422210699,13725.4380678851,17707.3062680062,"Lower Columbia chum",12243
"Grays and Chinook Rivers - fall Chum salmon",2023,4950.49460476185,6399.73675063777,7389.34358599095,9000.79698475876,15341.9262579225,"Lower Columbia chum",6226
"Grays and Chinook Rivers - fall Chum salmon",2024,2969.42065302017,5836.27531151308,8086.33951481069,11178.8667564071,23255.4194030775,"Lower Columbia chum",NA
"Grays and Chinook Rivers - fall Chum salmon",2025,2298.97168023033,5356.99424605447,8337.93605424548,13095.3965867723,33587.9137631856,"Lower Columbia chum",NA
"Lower Gorge Tributaries - fall Chum salmon",1999,470.986493749726,1052.48263696644,1556.60604785287,2305.10338030246,5294.05053689402,"Lower Columbia chum",NA
"Lower Gorge Tributaries - fall Chum salmon",2000,850.873694567371,1162.13893656343,1321.79635031365,1522.34166224509,2209.56656169539,"Lower Columbia chum",1265
"Lower Gorge Tributaries - fall Chum salmon",2001,1234.294806442,1729.72473942724,1972.98918256448,2215.55401399319,2954.36287231254,"Lower Columbia chum",2032
"Lower Gorge Tributaries - fall Chum salmon",2002,2503.69318081601,4227.99325159311,5406.66209588151,6698.29036657074,8765.06178814871,"Lower Columbia chum",7954
"Lower Gorge Tributaries - fall Chum salmon",2003,2547.45823922331,3314.02390406728,3742.61526135754,4279.37512533368,6165.20869866053,"Lower Columbia chum",3381
"Lower Gorge Tributaries - fall Chum salmon",2004,1445.17471633876,1893.77693974546,2120.32881765658,2397.71547826349,3277.95871610648,"Lower Columbia chum",2103
"Lower Gorge Tributaries - fall Chum salmon",2005,701.973755477155,892.148949058732,1000.14120989554,1143.67639592696,1560.59943222025,"Lower Columbia chum",901
"Lower Gorge Tributaries - fall Chum salmon",2006,780.252034185254,1111.96982489349,1290.98759016583,1483.80786697658,1879.32272725415,"Lower Columbia chum",1606
"Lower Gorge Tributaries - fall Chum salmon",2007,432.52654594287,536.528122444054,613.067545336961,720.549746399239,1046.76125640679,"Lower Columbia chum",510
"Lower Gorge Tributaries - fall Chum salmon",2008,399.691174336694,517.251980436112,576.264614432221,652.079509645417,868.927526072098,"Lower Columbia chum",576
"Lower Gorge Tributaries - fall Chum salmon",2009,504.736488154758,642.321164734726,746.106958311017,881.496842681217,1319.36774506487,"Lower Columbia chum",571
"Lower Gorge Tributaries - fall Chum salmon",2010,1371.90839154288,1974.09691622808,2284.51510969583,2572.03476623877,3199.56225895744,"Lower Columbia chum",2674
"Lower Gorge Tributaries - fall Chum salmon",2011,1981.11152138127,2675.61920391189,3017.71960754703,3372.60389022932,4343.7246753942,"Lower Columbia chum",3190
"Lower Gorge Tributaries - fall Chum salmon",2012,1434.36029109651,1817.59132595873,2018.89358104956,2284.78454526919,3055.5301885328,"Lower Columbia chum",1864
"Lower Gorge Tributaries - fall Chum salmon",2013,1251.45163884833,1554.38535176624,1728.66391561884,1957.21625160855,2588.72439412041,"Lower Columbia chum",1595
"Lower Gorge Tributaries - fall Chum salmon",2014,1474.75894672613,1934.08295267283,2186.00808940546,2453.74007322322,3184.79809181771,"Lower Columbia chum",2342
"Lower Gorge Tributaries - fall Chum salmon",2015,3409.18360514257,4591.49704134925,5165.30363568629,5779.08627019947,7379.76910194698,"Lower Columbia chum",5345
"Lower Gorge Tributaries - fall Chum salmon",2016,3640.48946568855,5038.83140768815,5685.60805931671,6377.16027699433,8365.20755743271,"Lower Columbia chum",6103
"Lower Gorge Tributaries - fall Chum salmon",2017,1239.82396478784,1557.15088077565,1781.58954728546,2128.06067243658,3394.22249271009,"Lower Columbia chum",1499
"Lower Gorge Tributaries - fall Chum salmon",2018,2809.70972904756,3887.62864354795,4453.30626505652,4990.55552716232,6327.14926129934,"Lower Columbia chum",4855
"Lower Gorge Tributaries - fall Chum salmon",2019,2860.35815101636,4058.67478081141,4731.8906278459,5365.29683460353,6660.8981146247,"Lower Columbia chum",5555
"Lower Gorge Tributaries - fall Chum salmon",2020,2978.03325895076,3726.78872309784,4271.13225966629,4979.96971401006,7187.86183450157,"Lower Columbia chum",3380
"Lower Gorge Tributaries - fall Chum salmon",2021,5344.26444251579,7212.10138014925,8152.49415547718,9062.47262428837,11298.2316144646,"Lower Columbia chum",8828
"Lower Gorge Tributaries - fall Chum salmon",2022,5378.27858622097,6842.42453874134,7651.802852888,8601.63947502975,11701.08830324,"Lower Columbia chum",7224
"Lower Gorge Tributaries - fall Chum salmon",2023,4624.80131493132,6963.67589385019,7951.68144806412,8980.39646421421,11978.4514413999,"Lower Columbia chum",8486
"Lower Gorge Tributaries - fall Chum salmon",2024,3155.36065005303,6108.93824423129,8409.1048732935,11634.5778325655,23619.8128582352,"Lower Columbia chum",NA
"Lower Gorge Tributaries - fall Chum salmon",2025,2336.00890925342,5841.81489092036,8941.46391191335,13713.6429229306,35609.8808597204,"Lower Columbia chum",NA
"Upper Gorge Tributaries - fall Chum salmon",1999,19.1909505758589,31.0618384203343,37.589084879273,44.464979499075,63.0912776284865,"Lower Columbia chum",43
"Upper Gorge Tributaries - fall Chum salmon",2000,12.3414868021762,17.3818657522221,21.156876778624,25.9493250134702,41.2756859261208,"Lower Columbia chum",17
"Upper Gorge Tributaries - fall Chum salmon",2001,19.3009810160372,26.9412355719634,32.0811393438755,38.0032901297115,56.099267132642,"Lower Columbia chum",29
"Upper Gorge Tributaries - fall Chum salmon",2002,59.1937968921705,85.4877060517352,99.921418971431,115.841941430188,168.285245182287,"Lower Columbia chum",98
"Upper Gorge Tributaries - fall Chum salmon",2003,51.2987996622534,109.401993890683,194.958671755244,299.88019349373,442.581145891581,"Lower Columbia chum",411
"Upper Gorge Tributaries - fall Chum salmon",2004,35.1311722283624,50.4444387295465,62.8581210612013,88.9293388459508,230.958218901499,"Lower Columbia chum",42
"Upper Gorge Tributaries - fall Chum salmon",2005,73.0726045568429,107.177665246195,126.650938916453,146.133433392074,195.539476890418,"Lower Columbia chum",139
"Upper Gorge Tributaries - fall Chum salmon",2006,100.840778263475,140.775612371034,161.766938449731,183.859454745575,254.85522712152,"Lower Columbia chum",165
"Upper Gorge Tributaries - fall Chum salmon",2007,73.8710532703014,109.39796420831,126.825070424515,146.999998462583,192.936296934954,"Lower Columbia chum",142
"Upper Gorge Tributaries - fall Chum salmon",2008,53.866116143682,71.8101018115868,82.7820727186392,96.5393052736853,140.642247954544,"Lower Columbia chum",75
"Upper Gorge Tributaries - fall Chum salmon",2009,60.0050446210832,85.9279029543957,100.874844868179,115.22325950548,154.325605594758,"Lower Columbia chum",109
"Upper Gorge Tributaries - fall Chum salmon",2010,68.6216301087614,100.240811272418,115.778597686126,134.09735642214,183.468134121532,"Lower Columbia chum",124
"Upper Gorge Tributaries - fall Chum salmon",2011,37.4261761504164,51.9820800078228,61.1424260759313,75.2303148247355,125.249659031551,"Lower Columbia chum",50
"Upper Gorge Tributaries - fall Chum salmon",2012,44.7372811779323,60.5631574292698,69.7455076414905,82.0189653732005,118.800693078121,"Lower Columbia chum",65
"Upper Gorge Tributaries - fall Chum salmon",2013,73.2453308363756,116.545402765138,138.504395437885,160.945788879698,212.670495958218,"Lower Columbia chum",167
"Upper Gorge Tributaries - fall Chum salmon",2014,76.3995155082148,108.446020217681,125.178729830031,143.888568848634,196.86411825484,"Lower Columbia chum",122
"Upper Gorge Tributaries - fall Chum salmon",2015,79.4523881805948,128.642812066569,152.995872475236,178.019036678191,236.397557082988,"Lower Columbia chum",176
"Upper Gorge Tributaries - fall Chum salmon",2016,34.60296782873,48.1292552435436,57.7816671269091,72.1619881378503,144.138145791224,"Lower Columbia chum",47
"Upper Gorge Tributaries - fall Chum salmon",2017,16.381365262519,24.4300305940086,30.6787573824255,42.4165746256777,115.123520422354,"Lower Columbia chum",21
"Upper Gorge Tributaries - fall Chum salmon",2018,96.946933381136,143.38548264311,165.959258723194,190.467401006611,254.699054902218,"Lower Columbia chum",180
"Upper Gorge Tributaries - fall Chum salmon",2019,158.903492218599,241.018457145541,281.805535970755,323.138822806628,419.074756889088,"Lower Columbia chum",316
"Upper Gorge Tributaries - fall Chum salmon",2020,136.550946566745,180.141157051478,205.928207525484,238.344017852505,342.079053658765,"Lower Columbia chum",193
"Upper Gorge Tributaries - fall Chum salmon",2021,206.631895351801,286.198666149813,323.344865905024,368.451112663666,490.6083976185,"Lower Columbia chum",333
"Upper Gorge Tributaries - fall Chum salmon",2022,213.355845653003,277.97274389293,317.123840898885,361.878011602475,521.653308239081,"Lower Columbia chum",299
"Upper Gorge Tributaries - fall Chum salmon",2023,313.81818496865,488.4221437918,571.736008670037,655.516854103416,871.140202753324,"Lower Columbia chum",615
"Upper Gorge Tributaries - fall Chum salmon",2024,183.978170428429,406.391230313052,597.628379999231,892.25958509252,1993.89413062544,"Lower Columbia chum",NA
"Upper Gorge Tributaries - fall Chum salmon",2025,127.276407703661,373.277707127786,635.671712350029,1092.36821178904,3456.03703495118,"Lower Columbia chum",NA
"Washougal River - fall Chum salmon",1999,250.13083276711,690.62398302724,1188.66141166723,2089.64065813647,6133.47833852496,"Lower Columbia chum",NA
"Washougal River - fall Chum salmon",2000,352.225956091483,779.252248094972,1154.55351000617,1707.95768000914,3963.82096921594,"Lower Columbia chum",NA
"Washougal River - fall Chum salmon",2001,626.282573030905,1070.75415436966,1439.95871076761,1934.31442459834,3781.95065387913,"Lower Columbia chum",NA
