"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - late Coho salmon",2005,1205.46854922333,2990.40225292409,5023.52936871975,8353.12292825937,21511.2010864851,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2006,1322.04425055861,2883.68641732367,4569.29171944265,7212.29241842602,16998.4960494095,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2007,1470.25946169289,3029.9147875954,4405.33478073423,6459.35460119703,13887.8698566736,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2008,1823.0427265707,3408.87991900607,4602.04330818022,6167.62579114915,11726.6292839646,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2009,2585.9721892123,4045.35526953343,4979.03526307592,6234.9251604889,10637.1360383739,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2010,3708.01634353158,4032.21588869909,4218.81745989045,4490.80015611316,5541.39931480794,"Lower Columbia coho",4031
"Coweeman River - late Coho salmon",2011,2792.48443597032,3307.45685252985,3527.5304799231,3703.55296741707,4011.86190863086,"Lower Columbia coho",3738
"Coweeman River - late Coho salmon",2012,2945.16433389492,3404.37666046096,3570.72784851215,3718.53223274723,4048.54152725136,"Lower Columbia coho",3659
"Coweeman River - late Coho salmon",2013,3355.88290500132,3823.06741857171,3994.16535589939,4146.38449653077,4540.02422052695,"Lower Columbia coho",4068
"Coweeman River - late Coho salmon",2014,7420.22949398569,8001.89186505345,8446.57719562503,9093.92074023805,11073.7390429989,"Lower Columbia coho",7871
"Coweeman River - late Coho salmon",2015,1235.27055721127,1349.98039922668,1410.01172141921,1475.62014677016,1681.23089400577,"Lower Columbia coho",1366
"Coweeman River - late Coho salmon",2016,2669.99874051425,3023.67766516561,3180.80945931616,3306.81824831394,3590.26025813379,"Lower Columbia coho",3312
"Coweeman River - late Coho salmon",2017,2341.79105372795,2584.65800900395,2689.42219615496,2801.16634082913,3119.19888336361,"Lower Columbia coho",2661
"Coweeman River - late Coho salmon",2018,2288.68754269962,2593.36093195816,2713.48044353107,2827.50554065022,3058.71005527996,"Lower Columbia coho",2817
"Coweeman River - late Coho salmon",2019,3280.25539150718,3570.02579081073,3711.32248472674,3889.56195488787,4395.21979974509,"Lower Columbia coho",3566
"Coweeman River - late Coho salmon",2020,4017.71048087265,4415.0601673903,4584.74847656787,4752.24244094944,5206.93169926371,"Lower Columbia coho",4593
"Coweeman River - late Coho salmon",2021,4241.43305643267,4640.11554471539,4807.2422867367,4984.41394541114,5465.49081362058,"Lower Columbia coho",4792
"Coweeman River - late Coho salmon",2022,3870.49220699549,4248.52007965732,4408.61431547207,4585.37473447361,5070.0916316442,"Lower Columbia coho",4377
"Coweeman River - late Coho salmon",2023,2829.08101593592,3248.90150884838,3394.30431790764,3545.65641911936,3970.3159839822,"Lower Columbia coho",3433
"Coweeman River - late Coho salmon",2024,2339.80154008615,3034.73165797986,3431.12817078095,3869.98271026936,5066.80725639734,"Lower Columbia coho",NA
"Coweeman River - late Coho salmon",2025,2035.52788019855,2921.8704568699,3472.86859832848,4142.01247186233,6054.74088671785,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2005,166.42030975639,720.305929462072,1374.77037850843,2697.43381607832,11708.2102875529,"Lower Columbia coho",NA
"East Fork Lewis River - early and late Coho salmon",2006,198.859917481462,715.541492425382,1235.65604976871,2266.54256407457,8085.35793853184,"Lower Columbia coho",NA
