"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Coweeman River - winter Steelhead",1998,200.924564993538,318.253760989734,389.200101023031,450.646250996282,587.015171199788,"Lower Columbia steelhead",486
"Coweeman River - winter Steelhead",1999,193.303338442727,260.749829313845,312.18562072141,379.924519847448,557.107450449166,"Lower Columbia steelhead",198
"Coweeman River - winter Steelhead",2000,234.843364292102,331.589577853388,390.875567423626,460.072125326835,587.290858021108,"Lower Columbia steelhead",530
"Coweeman River - winter Steelhead",2001,256.265563666154,330.334817603126,370.850587370303,411.712671702901,523.101863098788,"Lower Columbia steelhead",384
"Coweeman River - winter Steelhead",2002,248.330330819772,313.852181041245,356.650896040247,412.951706573283,559.710440360972,"Lower Columbia steelhead",298
"Coweeman River - winter Steelhead",2003,388.357640126535,473.832941156091,536.554858427559,611.176437801089,795.963627568717,"Lower Columbia steelhead",460
"Coweeman River - winter Steelhead",2004,434.868332555038,572.368361930863,650.581404348737,727.01998249344,886.764566281546,"Lower Columbia steelhead",722
"Coweeman River - winter Steelhead",2005,269.875700257241,337.76374986304,376.662066789632,423.404421706152,526.772020855685,"Lower Columbia steelhead",370
"Coweeman River - winter Steelhead",2006,303.457608668123,377.056154412279,417.27657848104,466.268321006878,592.604745186152,"Lower Columbia steelhead",372
"Coweeman River - winter Steelhead",2007,310.337804144069,381.585654349706,429.593744691207,483.742058886296,612.548505332712,"Lower Columbia steelhead",384
"Coweeman River - winter Steelhead",2008,360.242152111874,469.811183018362,545.548051383589,624.447610490092,774.795795391338,"Lower Columbia steelhead",722
"Coweeman River - winter Steelhead",2009,406.958379854954,524.049051030639,584.655601937347,650.557062628283,809.117475277297,"Lower Columbia steelhead",602
"Coweeman River - winter Steelhead",2010,328.78850899265,421.420543579997,468.555687247337,518.723172136628,641.406817080525,"Lower Columbia steelhead",528
"Coweeman River - winter Steelhead",2011,272.653821554174,353.598297734816,395.004423431909,438.490276391473,554.150129409051,"Lower Columbia steelhead",408
"Coweeman River - winter Steelhead",2012,229.312597670246,306.681789100292,358.955596813914,421.307170753353,568.461697727453,"Lower Columbia steelhead",256
"Coweeman River - winter Steelhead",2013,397.397287618556,509.328023757517,571.495154842587,633.950951351833,780.565529616091,"Lower Columbia steelhead",622
"Coweeman River - winter Steelhead",2014,379.868682068017,464.610199775095,517.650177085347,577.996757016786,732.4860535082,"Lower Columbia steelhead",496
"Coweeman River - winter Steelhead",2015,582.108115608354,749.108691836271,837.994638732015,926.780343799996,1113.2849556041,"Lower Columbia steelhead",940
"Coweeman River - winter Steelhead",2016,601.859449824919,760.62741908627,849.200678183839,934.953860747182,1154.39844710299,"Lower Columbia steelhead",886
"Coweeman River - winter Steelhead",2017,277.583014552092,357.911472957556,415.40978634612,484.98441623075,666.883175225773,"Lower Columbia steelhead",294
"Coweeman River - winter Steelhead",2018,342.515037840092,428.06603214147,477.767203362552,529.658800974649,652.463706164652,"Lower Columbia steelhead",474
"Coweeman River - winter Steelhead",2019,222.851175840481,288.790848546972,324.385679981129,360.235676150557,448.369254109495,"Lower Columbia steelhead",354
"Coweeman River - winter Steelhead",2020,264.76502711131,330.370952853673,367.501412348556,414.512599718337,586.056839320325,"Lower Columbia steelhead",352
"Coweeman River - winter Steelhead",2021,234.315293388895,339.93171639442,411.465375238923,494.813059109231,641.099195534163,"Lower Columbia steelhead",592
"Coweeman River - winter Steelhead",2022,187.833576662154,241.74055708727,280.571779865948,338.760316473325,508.74059114932,"Lower Columbia steelhead",234
"Coweeman River - winter Steelhead",2023,144.868722282793,255.064868171289,332.489841875721,427.379128353682,752.200715444123,"Lower Columbia steelhead",NA
"Coweeman River - winter Steelhead",2024,129.052633458791,258.271914894408,368.202676741056,505.030470747819,999.505949658198,"Lower Columbia steelhead",NA
"Coweeman River - winter Steelhead",2025,107.930326398286,249.873340032263,377.544883809906,551.027814345185,1203.4295183283,"Lower Columbia steelhead",NA
"East Fork Lewis River - summer Steelhead",1998,94.8669047867696,123.303092691265,139.081899341513,158.086006746909,203.670630872109,"Lower Columbia steelhead",141
"East Fork Lewis River - summer Steelhead",1999,112.405564377873,139.210267802594,155.528113440579,174.451790450852,229.961237169101,"Lower Columbia steelhead",139
"East Fork Lewis River - summer Steelhead",2000,152.931902642477,191.131583541992,212.345706988459,236.458524766742,293.290332695446,"Lower Columbia steelhead",229
"East Fork Lewis River - summer Steelhead",2001,214.900773159642,262.449967197156,288.79432256517,320.180324338447,404.193168535002,"Lower Columbia steelhead",271
"East Fork Lewis River - summer Steelhead",2002,339.552232416622,417.177584297648,463.906959705036,513.903834627912,638.884685625876,"Lower Columbia steelhead",440
"East Fork Lewis River - summer Steelhead",2003,492.930845623429,643.651940415893,728.524787505857,821.603105712517,1004.51051429084,"Lower Columbia steelhead",910
"East Fork Lewis River - summer Steelhead",2004,408.80336027554,517.630176622638,590.768107617764,686.688437136869,900.74509747702,"Lower Columbia steelhead",425
"East Fork Lewis River - summer Steelhead",2005,372.696700222793,483.266736602226,549.167428902542,618.019203966367,759.234630231478,"Lower Columbia steelhead",673
"East Fork Lewis River - summer Steelhead",2006,385.471594060985,484.112550273996,535.454281642082,592.085197227292,724.636920822227,"Lower Columbia steelhead",560
"East Fork Lewis River - summer Steelhead",2007,354.460398647251,428.509956969861,474.01080223123,529.488667212881,664.777786532371,"Lower Columbia steelhead",412
"East Fork Lewis River - summer Steelhead",2008,324.084625705213,397.010302629103,444.895585392223,505.850409599155,665.227029252154,"Lower Columbia steelhead",365
"East Fork Lewis River - summer Steelhead",2009,426.577136759884,543.193654713746,618.994279751838,692.76653635822,850.038162088138,"Lower Columbia steelhead",800
"East Fork Lewis River - summer Steelhead",2010,510.454655634574,618.504236676222,681.039160382606,758.908812549663,973.344289259638,"Lower Columbia steelhead",600
"East Fork Lewis River - summer Steelhead",2011,580.614489628961,772.863780070485,880.879649312665,979.743800798816,1204.69791341633,"Lower Columbia steelhead",1036
"East Fork Lewis River - summer Steelhead",2012,665.791288167679,866.642024732008,971.210151587972,1075.15023105186,1309.02043524966,"Lower Columbia steelhead",1084
"East Fork Lewis River - summer Steelhead",2013,700.764965797693,885.895865511525,987.705913069414,1097.73455266932,1340.71788366862,"Lower Columbia steelhead",1059
"East Fork Lewis River - summer Steelhead",2014,466.262420085009,577.263767185772,637.634096006963,702.904906702967,869.626069616686,"Lower Columbia steelhead",617
"East Fork Lewis River - summer Steelhead",2015,649.726169498319,796.215523787708,878.129787225078,968.542858528009,1187.71848876923,"Lower Columbia steelhead",843
"East Fork Lewis River - summer Steelhead",2016,663.900070618945,801.666248333172,885.030205095747,977.580173052685,1222.59460399491,"Lower Columbia steelhead",824
"East Fork Lewis River - summer Steelhead",2017,444.001670275893,578.062773099615,650.609943175392,721.250319090402,880.589452366375,"Lower Columbia steelhead",739
"East Fork Lewis River - summer Steelhead",2018,444.68753935908,550.296808175736,607.62573234408,671.162552364106,817.864106560944,"Lower Columbia steelhead",617
"East Fork Lewis River - summer Steelhead",2019,274.324876434927,336.464016869635,374.674998350674,416.755661351445,524.09205051653,"Lower Columbia steelhead",367
"East Fork Lewis River - summer Steelhead",2020,261.733821271881,330.568063682199,372.557780679079,425.203218250035,576.569050844072,"Lower Columbia steelhead",331
"East Fork Lewis River - summer Steelhead",2021,134.563892945238,231.421159426371,293.528254330936,373.120313772637,585.806976030786,"Lower Columbia steelhead",NA
"East Fork Lewis River - summer Steelhead",2022,142.720977166936,268.193675080573,365.504036372343,482.710267003215,819.375425971344,"Lower Columbia steelhead",NA
"East Fork Lewis River - summer Steelhead",2023,162.19061767515,315.289639891084,436.333264562223,594.512648980832,1093.46073122914,"Lower Columbia steelhead",NA
"East Fork Lewis River - summer Steelhead",2024,155.093640919234,332.334752009507,490.501597023626,688.010858909254,1384.50481147848,"Lower Columbia steelhead",NA
"East Fork Lewis River - summer Steelhead",2025,140.086222581827,331.627245340989,509.415210851845,751.600884017195,1625.76913596552,"Lower Columbia steelhead",NA
"East Fork Lewis River - winter Steelhead",1998,251.497366176433,330.35712801649,376.665211309881,423.424009911945,558.853283729234,"Lower Columbia steelhead",376
"East Fork Lewis River - winter Steelhead",1999,255.341916576308,347.045867297538,394.346281840619,444.388021252194,562.231671331855,"Lower Columbia steelhead",442
"East Fork Lewis River - winter Steelhead",2000,214.657128444186,305.455592644531,363.880281211928,438.563291987406,644.956704418906,"Lower Columbia steelhead",NA
"East Fork Lewis River - winter Steelhead",2001,243.744062715113,315.244261880449,358.213460041883,401.852673864387,506.979915429398,"Lower Columbia steelhead",377
"East Fork Lewis River - winter Steelhead",2002,246.851626893334,309.973737314738,351.756716329058,409.399223585979,563.289807534135,"Lower Columbia steelhead",292
"East Fork Lewis River - winter Steelhead",2003,413.856916250658,524.815919819855,588.116778008777,669.111987646506,877.660225278087,"Lower Columbia steelhead",532
"East Fork Lewis River - winter Steelhead",2004,414.567305817671,602.779865742324,729.92582057834,897.414558053037,1241.17216569964,"Lower Columbia steelhead",1298
"East Fork Lewis River - winter Steelhead",2005,229.036407434142,290.045750529644,338.128211977061,401.181812948383,566.373996886764,"Lower Columbia steelhead",246
"East Fork Lewis River - winter Steelhead",2006,301.11167441409,401.121700133916,447.319328500961,495.119793954764,610.953904781622,"Lower Columbia steelhead",458
"East Fork Lewis River - winter Steelhead",2007,340.273966642386,420.576480366564,463.350074043071,513.823222282421,648.410728113655,"Lower Columbia steelhead",448
"East Fork Lewis River - winter Steelhead",2008,369.594249685848,477.355323791468,532.48081726991,595.597306646475,734.950115961281,"Lower Columbia steelhead",548
"East Fork Lewis River - winter Steelhead",2009,370.319938530936,484.620151049283,554.829111917206,624.821942626789,762.273609850676,"Lower Columbia steelhead",688
"East Fork Lewis River - winter Steelhead",2010,264.464568825063,328.705016332203,364.797898417225,404.966154277711,523.18890183003,"Lower Columbia steelhead",336
"East Fork Lewis River - winter Steelhead",2011,225.738147290536,281.63450053921,314.4477753415,352.907462900206,454.571439558975,"Lower Columbia steelhead",308
"East Fork Lewis River - winter Steelhead",2012,223.65893740773,274.118215830601,309.468746894554,352.495713308576,469.052360213275,"Lower Columbia steelhead",272
