"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Klickitat River - summer and winter Steelhead",1999,111.090521119545,524.154847477529,1084.41693366506,2284.48503065196,10563.4849019539,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2000,145.214709636967,682.267921502266,1369.3794859902,2786.05529119957,12374.7143903291,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2001,224.097801286744,1045.29709365698,2054.14546904406,3876.65749347079,16604.0967104622,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2002,477.463560167671,1710.15945703424,3048.81139159321,5350.20667749956,20132.9791540368,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2003,437.989440405834,1275.08183495152,2063.84234208487,3423.10514393003,10021.6386576048,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2004,445.56064589752,1199.54743156499,1890.61970598771,2987.21942470973,8091.54078076134,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2005,770.520322480099,1657.67440033195,2366.34518065755,3346.11701612238,6996.70942023181,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2006,1200.19609806035,1477.67927266386,1593.49496492223,1722.16255305734,2143.48848754926,"Mid-Columbia steelhead",1577
"Klickitat River - summer and winter Steelhead",2007,1031.8684071369,1452.39690137186,1594.74631048691,1712.37669204857,2030.90836359705,"Mid-Columbia steelhead",1669
"Klickitat River - summer and winter Steelhead",2008,573.53804848304,1075.84473653086,1440.88750732221,1891.56313171781,3646.77944349881,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2009,467.490101064756,856.699114202975,1141.91788416557,1517.38939924297,2958.74588199138,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2010,1071.97063574351,1244.88698459054,1335.95421083388,1454.77187982503,1956.83927182138,"Mid-Columbia steelhead",1290
"Klickitat River - summer and winter Steelhead",2011,948.626600184578,1107.80704902818,1196.20454982207,1326.77362046995,1835.90393273264,"Mid-Columbia steelhead",1111
"Klickitat River - summer and winter Steelhead",2012,1216.684299883,1921.81749413419,2210.39178417354,2424.71703186524,2810.35073697273,"Mid-Columbia steelhead",2483
"Klickitat River - summer and winter Steelhead",2013,896.556344113146,1046.51822403277,1128.98932330207,1243.74129029229,1653.0535363448,"Mid-Columbia steelhead",1063
"Klickitat River - summer and winter Steelhead",2014,962.88707339359,1152.00550650322,1236.48633386901,1332.07984691753,1637.26978774057,"Mid-Columbia steelhead",1222
"Klickitat River - summer and winter Steelhead",2015,2148.45514599809,2671.11067168763,2876.48039471498,3078.70508532257,3656.40360526855,"Mid-Columbia steelhead",2956
"Klickitat River - summer and winter Steelhead",2016,2120.91943539996,2878.93750378147,3140.90209639493,3375.40185696742,3970.62896542562,"Mid-Columbia steelhead",3270
"Klickitat River - summer and winter Steelhead",2017,488.338682403589,579.310401840477,674.055131596356,876.762687694922,1643.17907135155,"Mid-Columbia steelhead",544
"Klickitat River - summer and winter Steelhead",2018,875.819519382736,1369.25896211263,1582.99068979948,1740.39378390014,2021.08563430151,"Mid-Columbia steelhead",1785
"Klickitat River - summer and winter Steelhead",2019,811.687858007916,973.916421106929,1045.34364494521,1136.57580553638,1465.66052630709,"Mid-Columbia steelhead",1025
"Klickitat River - summer and winter Steelhead",2020,437.136014279401,1006.22743835938,1468.95550877319,2094.30337140156,4829.00449237193,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2021,373.936877427378,1122.74215796789,1903.07131325371,3087.55739519711,8925.55904280675,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2022,129.844157700209,548.126449708006,1072.94189128365,2139.8462592394,8011.48209843987,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2023,117.659102012301,538.118808965296,1132.21754344386,2392.10947907632,10020.8202128096,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2024,93.4993426569105,506.823141602021,1105.28042101189,2544.69616564988,13366.542103205,"Mid-Columbia steelhead",NA
"Klickitat River - summer and winter Steelhead",2025,73.1501076974868,487.375339946238,1138.89984794061,2681.77752832739,15734.6221361894,"Mid-Columbia steelhead",NA
"Naches River - summer Steelhead",1999,264.222116800103,311.323896134282,334.775369783453,360.823212974969,428.248620924445,"Mid-Columbia steelhead",329
"Naches River - summer Steelhead",2000,409.259918760444,474.888642309031,505.767124855112,537.372448766307,619.824779080186,"Mid-Columbia steelhead",507
"Naches River - summer Steelhead",2001,771.088459993097,891.973997383036,946.471349227762,1001.34569052853,1126.55094837804,"Mid-Columbia steelhead",983
"Naches River - summer Steelhead",2002,1159.24989959481,1346.46799974127,1429.23326841495,1506.82830349822,1701.70430464165,"Mid-Columbia steelhead",1454
"Naches River - summer Steelhead",2003,635.387080987294,716.867074540013,761.267515434184,812.807928247415,947.295736346891,"Mid-Columbia steelhead",709
"Naches River - summer Steelhead",2004,706.58919156853,814.431227762295,867.724340231186,918.124257153209,1055.04530243832,"Mid-Columbia steelhead",886
"Naches River - summer Steelhead",2005,887.670049635945,1028.14027849723,1087.45244112625,1147.96097850488,1300.72214892152,"Mid-Columbia steelhead",1092
"Naches River - summer Steelhead",2006,543.507265350764,620.432009949655,657.796307334454,701.056698701863,814.377150042724,"Mid-Columbia steelhead",646
"Naches River - summer Steelhead",2007,429.845750593465,487.399700647243,517.947073132585,553.033339546027,651.791713564794,"Mid-Columbia steelhead",492
"Naches River - summer Steelhead",2008,796.141136300394,913.220467554329,964.672527340233,1019.77938358536,1148.40837899945,"Mid-Columbia steelhead",976
"Naches River - summer Steelhead",2009,954.253081799341,1081.00583195877,1138.50972075512,1208.98069160409,1397.20721632172,"Mid-Columbia steelhead",1114
"Naches River - summer Steelhead",2010,1709.03985455437,1981.53602545613,2107.81005494741,2233.70549024517,2524.7675259479,"Mid-Columbia steelhead",2138
"Naches River - summer Steelhead",2011,1717.35830192462,1934.88086909821,2045.2668651138,2171.51235196312,2522.76970896005,"Mid-Columbia steelhead",1963
"Naches River - summer Steelhead",2012,1735.07108906698,2007.05488061715,2128.54860892215,2245.18192061671,2525.07077211684,"Mid-Columbia steelhead",2203
"Naches River - summer Steelhead",2013,1247.73651766171,1469.29119462589,1573.70359781228,1674.54853978532,1884.37015714107,"Mid-Columbia steelhead",1683
"Naches River - summer Steelhead",2014,1102.98302101679,1302.15029984748,1403.06947078635,1491.47952010031,1688.11066942561,"Mid-Columbia steelhead",1506
