"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Ozette Lake - sockeye salmon",1999,227.001878850606,1422.40530953847,2517.19080351696,4671.39477208427,40630.7405969414,"Ozette Lake sockeye",2620
"Ozette Lake - sockeye salmon",2000,638.729679705873,1675.8945539427,2798.73329516996,4789.10120137317,30931.5007330941,"Ozette Lake sockeye",4851
"Ozette Lake - sockeye salmon",2001,670.635851904156,1746.14019308965,2787.48131564472,4681.85368647738,14769.256976381,"Ozette Lake sockeye",4077
"Ozette Lake - sockeye salmon",2002,732.952007626492,1685.4368871147,2689.95454394839,4215.76523011225,10857.9002523242,"Ozette Lake sockeye",3820
"Ozette Lake - sockeye salmon",2003,709.487783788965,1694.68964554534,2547.34765730247,4082.48987657603,11088.7257648667,"Ozette Lake sockeye",4876
"Ozette Lake - sockeye salmon",2004,658.66795257789,1581.23438262528,2362.39291172195,3527.4216293304,9037.20582348462,"Ozette Lake sockeye",1779
"Ozette Lake - sockeye salmon",2005,618.999660514216,1487.80467594298,2242.92327829152,3353.17181400297,8144.85390565425,"Ozette Lake sockeye",1721
"Ozette Lake - sockeye salmon",2006,462.943621350367,1363.72061911668,2017.22929906706,2988.57897463147,6109.10650539399,"Ozette Lake sockeye",2075
"Ozette Lake - sockeye salmon",2007,495.434918028504,1359.46604853875,2039.22989331068,2906.22936705369,6391.39461863036,"Ozette Lake sockeye",748
"Ozette Lake - sockeye salmon",2008,587.174555169152,1446.17146465116,2152.78680199322,3132.95519837434,7342.596991683,"Ozette Lake sockeye",2151
"Ozette Lake - sockeye salmon",2009,612.460783008501,1453.66953000351,2115.44516049161,3031.03680451044,7143.65038023119,"Ozette Lake sockeye",4769
"Ozette Lake - sockeye salmon",2010,547.487585106166,1279.63669520328,1885.9256262555,2793.20872571195,5767.33675639919,"Ozette Lake sockeye",2986
"Ozette Lake - sockeye salmon",2011,231.172993623184,1010.42894182382,1678.65968715794,2561.48318283671,5610.26852456624,"Ozette Lake sockeye",2457
"Ozette Lake - sockeye salmon",2012,24.0877304914676,718.660728388673,1433.56398687914,2370.98847790318,5078.95520393582,"Ozette Lake sockeye",0
"Ozette Lake - sockeye salmon",2013,356.348051161528,1076.29062463921,1712.04162525815,2642.45491977224,6072.86106312949,"Ozette Lake sockeye",2650
"Ozette Lake - sockeye salmon",2014,465.621238661539,1329.32181652876,2095.54587608805,3215.61692355298,8167.58112051862,"Ozette Lake sockeye",5097
"Ozette Lake - sockeye salmon",2015,646.083212903193,1657.01804473602,2662.15195680213,4811.76930306142,16032.2471312347,"Ozette Lake sockeye",6638
"Ozette Lake - sockeye salmon",2016,632.930242756559,1690.68752809847,2803.3175005502,5090.84310691271,14987.9663396333,"Ozette Lake sockeye",12829
"Ozette Lake - sockeye salmon",2017,594.784342826434,1686.93288174386,2887.23902557669,4987.03116413621,32002.4260036106,"Ozette Lake sockeye",5265
"Ozette Lake - sockeye salmon",2018,521.119523358945,1612.24874763494,2941.32962432243,5743.50299936205,32040.3518066991,"Ozette Lake sockeye",3264
"Ozette Lake - sockeye salmon",2019,464.575018592262,1542.98303040717,2684.95800125634,5048.61239588857,28373.4139268729,"Ozette Lake sockeye",2894
"Ozette Lake - sockeye salmon",2020,354.463919956303,1354.82473087094,2684.28444152951,5837.83522305047,47032.269681362,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2021,235.039555838674,1241.69276066985,2679.79929223143,6300.88438011996,71561.8450761189,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2022,157.891069276682,1142.53730740375,2663.28588801495,6614.73256614309,127957.837186764,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2023,112.386656997167,1068.2057248047,2702.99818596796,7318.52526534336,188815.72310441,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2024,73.4065648952211,1001.58025714236,2738.18710982831,7793.97162134887,269925.004822785,"Ozette Lake sockeye",NA
"Ozette Lake - sockeye salmon",2025,57.7930303156604,926.815698365312,2762.70568113415,8298.3220189511,361007.898738922,"Ozette Lake sockeye",NA
