"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"eps[1]",0.126225364942891,0.107119172251787,0.95661081194767,-1.73691074486685,-0.544163197084375,0.131421915321033,0.831712548339764,1.80460302315608,79.7510030651794,1.04250845128291
"eps[2]",-0.070617413718879,0.0769396606982455,0.958922258146348,-1.90283947417314,-0.780470418221581,-0.0598031709526798,0.596015541591294,1.84780100259072,155.333906814511,1.02394739950797
"eps[3]",-0.133093998821784,0.115014799863837,0.971751971564988,-2.13202056499305,-0.807252589653021,-0.084896788813877,0.539094144709167,1.74647139459924,71.3844149936955,1.04916429255144
"eps[4]",-0.0808528804373918,0.0319166319775307,0.924524390927936,-1.90307432273258,-0.669567330617458,-0.103075483589197,0.507809405716397,1.78050342741968,839.07858031043,1.00900936481188
"eps[5]",-0.168776508868893,0.0337115151683018,0.945134975254652,-2.02309307008145,-0.740989797918673,-0.188477681372646,0.393372124445442,1.80698238427617,786.015526254845,1.00375160585816
"eps[6]",-0.174252811263807,0.0436441305716078,0.924077937569501,-1.93913573454399,-0.779154340288371,-0.194788581095248,0.389758595756466,1.66482634887577,448.296667343014,1.01392155222878
"eps[7]",-0.175886535978609,0.0540344135418194,0.976152857870577,-2.00453357463011,-0.850769149434466,-0.186488112116834,0.50243380468374,1.67235582784285,326.358385270178,1.02114183131873
"eps[8]",-0.0669318926840713,0.0232393302264547,0.872887482320218,-1.80235717131985,-0.616906667586378,-0.0535633214248561,0.46254742584332,1.61633729969381,1410.81255733984,1.00297932435518
"eps[9]",0.0305908455978577,0.0341161351245353,0.90740363715819,-1.77678665633289,-0.555622131679401,0.105654062111944,0.583305735208197,1.87713686121861,707.426590220784,1.00446491489459
"eps[10]",-0.0418206673909772,0.0250422160471047,0.914668157347088,-1.90808316858243,-0.603493263787978,-0.0239738335407675,0.526256045484725,1.77248235458854,1334.07917282544,1.00163841783453
"eps[11]",-0.177810247116827,0.0467905684017826,0.91266216096266,-1.91431429110429,-0.79294779071935,-0.228786451541367,0.392386611837392,1.76325612916093,380.45513326648,1.01442572822146
"eps[12]",-0.257126665527703,0.044767785539966,0.972008700249466,-2.09551064353118,-0.938281861635765,-0.307199361233176,0.350537066552838,1.83247697368295,471.421168265936,1.01069275286027
"eps[13]",-0.466217446846953,0.11543163180518,1.09824372111888,-2.51668399386788,-1.26791797521068,-0.458964977740819,0.312551029036628,1.70008737834307,90.5206758265867,1.04423103435045
"eps[14]",0.59558155083809,0.174712293784742,1.17445451016203,-1.58641558638054,-0.210950471707024,0.472272896225358,1.413165736059,2.79014296424143,45.1882443937339,1.0807638544863
"eps[15]",0.350119472084469,0.0554514973363282,0.945123102718188,-1.54094890307209,-0.259117553321475,0.370393766213336,0.986971848096849,2.15757040723686,290.502719963226,1.02167768839636
"eps[16]",0.393099700573157,0.0683816308954654,0.954331825662622,-1.4850260759597,-0.263852051597929,0.433555893030035,1.10673654523397,2.1647824130257,194.769031836072,1.02031497696298
"eps[17]",0.113199846375048,0.0211094608026956,0.884075912160504,-1.64152359143191,-0.425372510860754,0.0704979151905191,0.679553364947356,1.89386210448115,1753.98079978501,1.000794783093
"eps[18]",0.0863636000003602,0.0870997325854199,0.975132198407397,-1.86925514823721,-0.536065565184161,0.0567172206251342,0.753759550879737,1.95812144434804,125.341056336528,1.02809528713108
"eps[19]",-0.00555495847747673,0.0362929325156942,0.938628570250191,-1.87221729360345,-0.635496747487018,0.0459814882968514,0.606260424731065,1.80798278214217,668.872616163022,1.00063424712864
