"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Cascade River - spring Chinook salmon",1999,80.7436453518365,113.725022775508,137.247361264924,167.21730595417,241.701249589034,"Puget Sound Chinook",83
"Cascade River - spring Chinook salmon",2000,175.238615109713,232.537512609007,272.243692886918,315.315976740074,410.963920680429,"Puget Sound Chinook",273
"Cascade River - spring Chinook salmon",2001,267.353447225905,362.849967744734,422.859288123737,487.624455327849,633.92176597099,"Puget Sound Chinook",625
"Cascade River - spring Chinook salmon",2002,263.667384070748,341.945522685304,389.686479570069,446.060572915101,580.197499139366,"Puget Sound Chinook",340
"Cascade River - spring Chinook salmon",2003,206.129933151405,265.167083191261,302.810487635649,343.32056147771,445.89835236558,"Puget Sound Chinook",298
"Cascade River - spring Chinook salmon",2004,276.093480065654,353.739327818848,397.12660844008,446.371858973324,566.73674202516,"Puget Sound Chinook",380
"Cascade River - spring Chinook salmon",2005,243.938470060102,315.799335565636,358.313934654482,407.495496016142,512.395982123399,"Puget Sound Chinook",420
"Cascade River - spring Chinook salmon",2006,321.903335536512,411.791066032437,463.214835672961,520.570091171288,668.123499480768,"Puget Sound Chinook",478
"Cascade River - spring Chinook salmon",2007,182.798563512323,241.302630401723,275.573263222372,314.610177978799,418.503999439588,"Puget Sound Chinook",223
"Cascade River - spring Chinook salmon",2008,255.634626618468,330.346956191792,379.432986226774,435.708634435224,576.703436954385,"Puget Sound Chinook",284
"Cascade River - spring Chinook salmon",2009,145.301831747084,192.5075528513,220.879061784036,255.554743523807,336.537964189155,"Puget Sound Chinook",338
"Cascade River - spring Chinook salmon",2010,168.835128445721,224.037150202624,257.810401693955,294.658050719672,386.523994076722,"Puget Sound Chinook",330
"Cascade River - spring Chinook salmon",2011,143.165329057196,186.375736083028,212.934369495949,244.612167647253,318.046617064502,"Puget Sound Chinook",265
"Cascade River - spring Chinook salmon",2012,292.160332975836,378.348850595409,427.861749141663,484.428702421199,635.745788947438,"Puget Sound Chinook",488
"Cascade River - spring Chinook salmon",2013,200.759346394083,257.494981093093,289.499647766687,327.71537399193,419.239731044368,"Puget Sound Chinook",310
"Cascade River - spring Chinook salmon",2014,139.075816524901,179.394783337763,202.343892113498,228.84232256675,292.936220003514,"Puget Sound Chinook",225
