"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Dungeness River - summer and winter Steelhead",2007,158.504072543372,349.360870192413,506.257381501689,723.734463595947,1563.77257915523,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2008,158.121212928322,334.422412235044,468.812151759662,648.760632840522,1345.29075026684,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2009,152.846298332067,280.689679603328,374.421208509169,490.8312776076,920.678828844695,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2010,245.5011369631,386.488735866716,475.766735426972,579.572761695471,890.871628018783,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2011,344.753131832871,422.746715312895,468.715290016244,523.298368463496,669.050866232415,"Puget Sound steelhead",455
"Dungeness River - summer and winter Steelhead",2012,338.03735012858,462.594028983605,529.227559529174,601.467238482216,801.281607138807,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2013,448.839526941461,550.167439748741,599.371021595875,652.429673040625,780.915450112022,"Puget Sound steelhead",619
"Dungeness River - summer and winter Steelhead",2014,424.533859530399,517.451968798156,563.462259056162,614.274869402877,742.221135241277,"Puget Sound steelhead",585
"Dungeness River - summer and winter Steelhead",2015,430.232140546267,534.976619133327,589.30693428317,643.673614858114,772.565461650122,"Puget Sound steelhead",618
"Dungeness River - summer and winter Steelhead",2016,340.285600206037,467.712425506562,542.300089134836,623.191748717008,842.108098233869,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2017,268.593801791159,330.33213074648,369.061342113342,416.036515541114,544.368492679499,"Puget Sound steelhead",311
"Dungeness River - summer and winter Steelhead",2018,262.906819202368,378.379676519299,447.823969698576,525.983889899579,739.997791560194,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2019,285.7361163681,376.24140507138,423.346628763899,469.127729146274,588.589134393987,"Puget Sound steelhead",467
"Dungeness River - summer and winter Steelhead",2020,269.74453785725,360.894538030433,411.001435671685,473.77892887746,631.413419652538,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2021,260.399186123652,314.542414953012,343.503721243752,378.131517093151,460.764866084047,"Puget Sound steelhead",329
"Dungeness River - summer and winter Steelhead",2022,269.306124666803,328.774185526422,361.80572522104,396.468461252574,478.548061806435,"Puget Sound steelhead",386
"Dungeness River - summer and winter Steelhead",2023,236.399671637494,292.744476653693,324.36237035736,362.203119543815,457.354374305362,"Puget Sound steelhead",309
"Dungeness River - summer and winter Steelhead",2024,218.585890475684,332.926252224578,404.303999717605,490.370340540298,736.313365831713,"Puget Sound steelhead",NA
"Dungeness River - summer and winter Steelhead",2025,175.902521205835,312.959946907607,399.426802397383,508.17009136793,867.881278194055,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2007,74.5775276804827,581.244602372816,1327.99681435022,2709.70076270405,13567.7879682166,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2008,79.6168173612359,570.059909317463,1209.62130287108,2427.25723381439,11702.0004647888,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2009,74.2257931801564,515.80059321787,1003.50662252747,1942.27611911562,8914.94303652748,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2010,109.547481741221,641.629993553199,1218.71273957675,2147.38839343751,8249.01012186205,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2011,142.713445867237,744.603959594484,1342.26869032662,2438.15480927452,8866.48762533044,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2012,187.246400450619,831.825660839663,1484.78793394658,2554.37676247508,8825.88779284319,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2013,253.119689400224,966.787899347418,1634.24849241397,2669.60685797247,8018.37587790123,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2014,283.557500439723,1005.33726432589,1614.55119750972,2605.44276356238,7482.09465304582,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2015,429.644422330742,1173.82729806291,1819.89038086772,2747.57097307221,6651.76953328999,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2016,465.763786667012,1176.50256670891,1772.55158351552,2564.66599350231,5689.85611437146,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2017,397.428895114385,923.899863033343,1301.26063019762,1797.45216255647,3809.55112192736,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2018,539.76858557241,881.816876237146,1109.82286010393,1404.27803374058,2257.75934534698,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2019,660.618629652031,820.248033861126,926.059239014079,1061.55635496902,1515.39446016437,"Puget Sound steelhead",802
"Elwha River - winter Steelhead",2020,951.891243385067,1223.53304017999,1372.6413317177,1522.54872217892,1838.34907272428,"Puget Sound steelhead",1528
"Elwha River - winter Steelhead",2021,977.579609389137,1182.44382094298,1295.14724057216,1422.87074223777,1762.84123073762,"Puget Sound steelhead",1238
"Elwha River - winter Steelhead",2022,1101.57503518577,1446.18860910382,1637.24566827347,1847.84811383391,2251.66807149626,"Puget Sound steelhead",1990
"Elwha River - winter Steelhead",2023,907.183081968044,1115.69194786239,1244.49005932431,1417.12339837974,1955.89644476865,"Puget Sound steelhead",1130
"Elwha River - winter Steelhead",2024,733.718869335974,1265.94918374053,1611.21294906319,2028.63756509641,3318.3131876277,"Puget Sound steelhead",NA
"Elwha River - winter Steelhead",2025,609.116623016575,1188.05583465427,1616.54825492357,2197.56986952374,4217.38081051841,"Puget Sound steelhead",NA
"Nisqually River - winter Steelhead",2007,350.411073238542,440.095306176623,491.393986077383,567.404958102733,781.455771782644,"Puget Sound steelhead",444
"Nisqually River - winter Steelhead",2008,384.366849934086,532.028084957734,611.956991438825,692.284894836819,839.53889614098,"Puget Sound steelhead",730
"Nisqually River - winter Steelhead",2009,246.451668226442,304.287528739569,339.550241256926,386.573419278263,526.90710129167,"Puget Sound steelhead",307
"Nisqually River - winter Steelhead",2010,308.809778218958,476.817954056139,579.030667358297,681.26936133937,846.906013575941,"Puget Sound steelhead",761
"Nisqually River - winter Steelhead",2011,250.209964869362,309.04728311578,351.487277824944,408.201743713953,583.569622141921,"Puget Sound steelhead",297
"Nisqually River - winter Steelhead",2012,240.039398578267,300.207943769528,348.876085355042,423.576603888529,628.530583346794,"Puget Sound steelhead",266
"Nisqually River - winter Steelhead",2013,425.031560846075,557.008610102462,625.948130869906,692.638642557454,846.264349495816,"Puget Sound steelhead",694
"Nisqually River - winter Steelhead",2014,441.043791823513,543.645176886911,601.070376501582,665.470893501964,844.20053542978,"Puget Sound steelhead",585
"Nisqually River - winter Steelhead",2015,788.296470919897,1005.55337649376,1124.63995611036,1244.12491862562,1569.09631640247,"Puget Sound steelhead",1129
"Nisqually River - winter Steelhead",2016,842.948112874825,1262.92422397154,1533.87214720116,1794.11223597966,2234.70671236529,"Puget Sound steelhead",2035
"Nisqually River - winter Steelhead",2017,532.781911896292,663.427492090866,755.424412086167,895.919837044592,1326.96570381354,"Puget Sound steelhead",622
"Nisqually River - winter Steelhead",2018,1184.3616699003,1561.12316958826,1735.3859040721,1922.13940651398,2421.44370382078,"Puget Sound steelhead",1767
"Nisqually River - winter Steelhead",2019,1115.70553832325,1527.19125948232,1738.29288437441,1934.98012248091,2345.3729595178,"Puget Sound steelhead",1957
"Nisqually River - winter Steelhead",2020,1010.57456098925,1288.27701711698,1420.46789315834,1564.22771248187,1973.29039024062,"Puget Sound steelhead",1411
"Nisqually River - winter Steelhead",2021,730.527534883649,959.760007209452,1072.29127764962,1187.50357735807,1465.84690833966,"Puget Sound steelhead",1168
"Nisqually River - winter Steelhead",2022,508.647015823798,618.446583384123,690.517760090774,785.825602882015,1061.79904437435,"Puget Sound steelhead",604
"Nisqually River - winter Steelhead",2023,455.495799278262,589.92143419338,657.858274930481,733.659470591155,949.350817899394,"Puget Sound steelhead",650
"Nisqually River - winter Steelhead",2024,314.662947933834,596.092910716799,803.799482418334,1049.46402893504,1962.31518106178,"Puget Sound steelhead",NA
"Nisqually River - winter Steelhead",2025,223.791845910376,547.807652136745,819.594131764713,1185.93477429925,2648.95435036961,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2007,724.321436117805,1334.60699028577,1806.12071365557,2463.70481169381,4722.00659571521,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2008,736.322959507157,1286.89216465262,1674.00166219872,2205.64638416235,4020.61983624247,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2009,745.093193448663,1120.45978428092,1365.4198109215,1692.33311407094,2703.31853775151,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2010,1295.26510326407,1641.47790189231,1808.75689720313,1992.85048528375,2454.4340929726,"Puget Sound steelhead",1901
"Nooksack River - winter Steelhead",2011,1340.44024960638,1603.57078669478,1735.07754498625,1882.99972725122,2238.20699845749,"Puget Sound steelhead",1774
"Nooksack River - winter Steelhead",2012,1363.96739550783,1614.43324916878,1750.74761463814,1898.83698872023,2259.44895764388,"Puget Sound steelhead",1747
"Nooksack River - winter Steelhead",2013,1460.70168674584,1715.89659766057,1858.14092042451,2013.47774441264,2368.05278915011,"Puget Sound steelhead",1805
"Nooksack River - winter Steelhead",2014,1302.63581143723,1548.28482392095,1687.52501212443,1842.87146440847,2216.62984597261,"Puget Sound steelhead",1521
"Nooksack River - winter Steelhead",2015,1543.51327322744,1847.86452320517,2004.42689167648,2173.35485119264,2619.15621938536,"Puget Sound steelhead",2082
"Nooksack River - winter Steelhead",2016,1511.46770031653,1815.6051144453,1978.7564700928,2164.75798519352,2625.174751512,"Puget Sound steelhead",1842
"Nooksack River - winter Steelhead",2017,1200.3984434237,1466.12537194697,1601.64963204105,1745.69844236919,2067.46316900126,"Puget Sound steelhead",1714
"Nooksack River - winter Steelhead",2018,1390.92625444338,1718.74852723332,1897.66746454202,2077.94970015336,2494.91343956497,"Puget Sound steelhead",2006
"Nooksack River - winter Steelhead",2019,1210.32931604979,1488.49777781853,1632.98545438729,1782.59168673317,2192.1211262984,"Puget Sound steelhead",1643
"Nooksack River - winter Steelhead",2020,1089.30799710546,1415.56019634514,1601.6725799968,1805.04727343643,2372.69610026381,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2021,995.428707943555,1216.48869691254,1334.21264116277,1456.51309782167,1770.91134998571,"Puget Sound steelhead",1314
"Nooksack River - winter Steelhead",2022,968.298169361908,1204.13246528151,1321.26970916212,1454.84624158909,1831.50031573378,"Puget Sound steelhead",1303
"Nooksack River - winter Steelhead",2023,706.052128904662,1068.38487976313,1272.42155115245,1530.29813769816,2309.26852413305,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2024,727.807760578462,1234.16596095429,1586.59958949311,2021.17835342042,3339.68833900396,"Puget Sound steelhead",NA
"Nooksack River - winter Steelhead",2025,618.225641080408,1172.56888976947,1570.05804282537,2080.42726818418,3917.43728162054,"Puget Sound steelhead",NA
"Pilchuck River - winter Steelhead",2007,578.411386789533,775.649427931393,879.376935336484,977.643366424164,1212.64195219359,"Puget Sound steelhead",976
"Pilchuck River - winter Steelhead",2008,465.048809690045,581.751789310391,642.847818123735,709.381668019723,880.681359586524,"Puget Sound steelhead",646
"Pilchuck River - winter Steelhead",2009,264.300366999258,327.138170710716,364.87205240859,408.554949785754,536.040332388912,"Puget Sound steelhead",344
"Pilchuck River - winter Steelhead",2010,275.687608844558,342.739094731325,397.342837390562,474.282597682081,683.33068302759,"Puget Sound steelhead",294
"Pilchuck River - winter Steelhead",2011,422.505265567698,520.850465549552,571.865447981027,629.728816192277,791.896358316361,"Puget Sound steelhead",552
"Pilchuck River - winter Steelhead",2012,528.252788309254,683.889231482633,762.434170491233,841.813263281145,1020.28119321766,"Puget Sound steelhead",848
"Pilchuck River - winter Steelhead",2013,636.729574645549,804.564324718935,893.405257750795,984.826687391251,1182.66012896903,"Puget Sound steelhead",1036
