"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Snake River - fall Chinook salmon",1992,481.265860488574,586.816985449873,626.835209915019,669.959914986326,817.605529056013,"Snake River fall Chinook",620
"Snake River - fall Chinook salmon",1993,547.72984065337,685.216093407555,737.70327863104,786.740386293277,898.420082976489,"Snake River fall Chinook",777
"Snake River - fall Chinook salmon",1994,394.16330350603,464.880789304231,492.655449001046,528.192483672851,646.41271144673,"Snake River fall Chinook",484
"Snake River - fall Chinook salmon",1995,337.464099057047,379.809249576855,403.716970065968,444.98956374221,583.32039521707,"Snake River fall Chinook",379
"Snake River - fall Chinook salmon",1996,598.993897761494,736.608841336025,804.994379117124,852.381780446255,977.792665075717,"Snake River fall Chinook",840
"Snake River - fall Chinook salmon",1997,637.136880018275,752.321689245545,810.643660477984,862.34408798667,1013.04738900535,"Snake River fall Chinook",821
"Snake River - fall Chinook salmon",1998,569.73198389125,640.032870047445,687.494083618178,761.740990811467,1008.88231595605,"Snake River fall Chinook",627
"Snake River - fall Chinook salmon",1999,1329.77303304445,1588.80626942345,1694.87243636005,1796.18626060597,2106.41301724155,"Snake River fall Chinook",1722
"Snake River - fall Chinook salmon",2000,2526.90909435909,3091.91303898358,3343.37064372433,3553.81239679656,4089.0336870736,"Snake River fall Chinook",3388
"Snake River - fall Chinook salmon",2001,3739.7818802616,4877.66915227947,5317.57110645724,5672.40395793104,6435.52169671047,"Snake River fall Chinook",5681
"Snake River - fall Chinook salmon",2002,3193.70019370559,3599.08826647881,3856.50716993038,4204.03232517107,5350.02371628583,"Snake River fall Chinook",3622
"Snake River - fall Chinook salmon",2003,4928.88177254076,6145.0933461262,6623.58390361552,7044.60150215656,8229.28914664767,"Snake River fall Chinook",6835
"Snake River - fall Chinook salmon",2004,5776.30886893555,7205.57290098035,7770.81520339826,8288.87938447987,9533.26642290169,"Snake River fall Chinook",8002
"Snake River - fall Chinook salmon",2005,4871.7944776032,5749.55627722175,6112.94157559093,6542.50194442281,7810.03226378395,"Snake River fall Chinook",6088
"Snake River - fall Chinook salmon",2006,4517.22229612012,5456.63621435237,5853.99462794965,6181.1273221299,7266.48691498766,"Snake River fall Chinook",5909
"Snake River - fall Chinook salmon",2007,3644.53363343387,4257.75954681922,4509.24909405051,4858.05690774578,6020.98390434985,"Snake River fall Chinook",4416
"Snake River - fall Chinook salmon",2008,3812.91542130604,4405.39830009984,4662.79863991761,5006.93650186035,6213.63062841768,"Snake River fall Chinook",4589
"Snake River - fall Chinook salmon",2009,4674.11405021428,5464.58394502512,5785.08016046216,6187.70635739346,7663.57517705818,"Snake River fall Chinook",5717
"Snake River - fall Chinook salmon",2010,6668.45811252777,8024.94226601146,8580.05684317423,9169.66755651374,10925.1588329315,"Snake River fall Chinook",8520
"Snake River - fall Chinook salmon",2011,9885.98987176476,11921.6503785748,12706.7042275603,13529.6969567335,15844.1378879693,"Snake River fall Chinook",12932
"Snake River - fall Chinook salmon",2012,13003.2178500823,15590.4255106648,16497.2422920462,17607.0086648163,21158.0934494534,"Snake River fall Chinook",16447
"Snake River - fall Chinook salmon",2013,18127.7691134811,23246.8375995212,25419.1421151238,27011.2197929556,30624.6566621227,"Snake River fall Chinook",27166
"Snake River - fall Chinook salmon",2014,13819.0726131397,16387.0570212415,17456.3582137502,18626.0452813447,22658.2999318169,"Snake River fall Chinook",16965
"Snake River - fall Chinook salmon",2015,12637.9178599696,15679.5719942872,16863.9982082582,17923.9668602877,21192.9207494131,"Snake River fall Chinook",17575
"Snake River - fall Chinook salmon",2016,8541.2920249998,10198.2451626045,10812.9734551312,11574.9192056131,13973.2587221328,"Snake River fall Chinook",10806
"Snake River - fall Chinook salmon",2017,6195.57322457013,7280.3934058534,7739.14204389197,8283.03055161097,10157.0533548859,"Snake River fall Chinook",7571
"Snake River - fall Chinook salmon",2018,5258.51721644953,6169.43031633034,6550.80274278797,7020.76307415269,8706.72117418689,"Snake River fall Chinook",6363
"Snake River - fall Chinook salmon",2019,5910.00628605948,7076.5019344863,7532.29234450719,8002.64191816939,9610.58433712724,"Snake River fall Chinook",7500
"Snake River - fall Chinook salmon",2020,6613.76445724927,8037.85434022349,8623.52737685097,9142.1870475871,10683.0714194458,"Snake River fall Chinook",8741
"Snake River - fall Chinook salmon",2021,6238.27970680141,7472.03494137681,7950.54331234809,8430.93733304968,10009.2805049524,"Snake River fall Chinook",7957
"Snake River - fall Chinook salmon",2022,5661.72970966251,6560.66668936942,6987.44395031752,7538.90551763007,9157.46282284705,"Snake River fall Chinook",6874
"Snake River - fall Chinook salmon",2023,6414.06972579826,7792.01860777171,8334.74372033572,8864.76079679796,10686.0617835929,"Snake River fall Chinook",8392
"Snake River - fall Chinook salmon",2024,3888.40899743367,6773.27971706491,8917.77311370654,11882.9323789181,19854.45127594,"Snake River fall Chinook",NA
"Snake River - fall Chinook salmon",2025,3195.35739561895,6612.09828744728,9890.64656459078,14544.6073466631,30959.2992305191,"Snake River fall Chinook",NA
