"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Joseph Creek - summer Steelhead",1997,245.426941013465,2605.84467714017,7784.49256368434,23075.6917096221,209256.815773614,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",1998,285.174474474822,2465.21433882881,7151.28125861962,19663.7140004662,170799.064103194,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",1999,301.028252442899,2448.13169290714,6577.15949727201,16906.6680511182,125425.609556503,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2000,336.189026904954,2385.55260377716,5900.75717298506,14259.9572777385,96865.3961072068,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2001,368.528016109669,2337.14754597515,5338.27723829784,11979.2897661017,73999.8088949257,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2002,403.8573162967,2280.20792653959,4786.67499514195,10483.7865054033,52485.8793908344,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2003,466.332641659143,2176.27333349236,4356.97775183314,9050.5934514357,40539.7917642358,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2004,512.903760428532,2108.39653650986,4005.74290313527,7782.90217150438,31290.8404747466,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2005,575.445343778558,2053.53586164482,3648.52842198846,6532.05250459029,23361.6659350123,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2006,676.474921119224,1976.50952120055,3293.7059750396,5663.77746154541,17177.8190066113,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2007,749.848726373402,1956.67391625321,3018.530504321,4775.89384889663,12084.9613072148,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2008,827.390057850108,1889.24085332188,2738.98174516915,4065.12164243948,9167.08746795872,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2009,955.484258692368,1870.64670082659,2501.36156351313,3449.57419044298,6577.5835132639,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2010,1117.80348469798,1829.58449924821,2318.76220456686,2916.25731043078,4610.17860416967,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2011,1401.98439429898,1700.06404106043,1851.10272197327,2055.3203019662,2790.68524575535,"Snake River steelhead",1739
"Joseph Creek - summer Steelhead",2012,1515.99775732211,1814.79697470008,1962.43408665847,2131.75165825965,2668.60579483426,"Snake River steelhead",1915
"Joseph Creek - summer Steelhead",2013,1313.82261663847,1629.78682830074,1761.96157013976,1922.95067634222,2362.31042940936,"Snake River steelhead",1788
"Joseph Creek - summer Steelhead",2014,1482.30167458243,1846.57065514545,1999.08187669892,2157.62553778457,2614.05490929471,"Snake River steelhead",2036
"Joseph Creek - summer Steelhead",2015,1703.32026341085,2411.17909887267,2801.3414033796,3101.45751220429,3619.08344760209,"Snake River steelhead",3212
"Joseph Creek - summer Steelhead",2016,1266.03206061554,1669.2357693467,1844.13590010276,1993.54188175308,2373.36366697276,"Snake River steelhead",1914
"Joseph Creek - summer Steelhead",2017,520.828321575614,615.081803606538,676.757199476665,761.611342436322,1026.31756240271,"Snake River steelhead",615
"Joseph Creek - summer Steelhead",2018,556.99716328873,679.166135802276,739.11070079654,801.444035523337,961.196111763475,"Snake River steelhead",750
"Joseph Creek - summer Steelhead",2019,386.75462112258,462.505871397437,504.681392439326,551.81930486982,702.365310409015,"Snake River steelhead",478
"Joseph Creek - summer Steelhead",2020,407.247533204051,490.677710101575,528.737784585561,576.942776555329,716.260036459171,"Snake River steelhead",523
"Joseph Creek - summer Steelhead",2021,360.951626498559,498.031129156926,583.572347463145,667.347644410137,795.311112971846,"Snake River steelhead",739
"Joseph Creek - summer Steelhead",2022,237.767997474256,285.320151077985,312.899594592523,354.078066298226,476.351709472209,"Snake River steelhead",280
"Joseph Creek - summer Steelhead",2023,250.371822491101,311.692729269176,342.33514861334,375.840607275865,491.773846429702,"Snake River steelhead",333
"Joseph Creek - summer Steelhead",2024,163.190043777312,254.973216442025,310.155697961229,385.575908696085,615.211384738735,"Snake River steelhead",NA
"Joseph Creek - summer Steelhead",2025,115.13420838588,214.100188540226,282.479123055261,373.261132569598,740.847901943683,"Snake River steelhead",NA
"Tucannon River - summer Steelhead",1997,126.728468544932,954.191065335045,2403.38493351931,6063.5530801173,43519.5028703057,"Snake River steelhead",NA
"Tucannon River - summer Steelhead",1998,148.421058677841,946.772851131954,2258.97173429133,5474.66391948191,36387.8776382281,"Snake River steelhead",NA
"Tucannon River - summer Steelhead",1999,167.513715641435,969.705045785679,2156.02465184629,4953.13817379319,28667.6950095481,"Snake River steelhead",NA
"Tucannon River - summer Steelhead",2000,193.866381815123,979.73810466483,2048.94292845774,4442.6125716557,21549.8757829508,"Snake River steelhead",NA
