"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Entiat River - spring Chinook salmon",1999,17.3531308281396,24.1278276799553,28.8010197374993,34.4701845837851,51.5838048172457,"Upper Columbia spring Chinook",29
"Entiat River - spring Chinook salmon",2000,48.5782974365997,67.5674541410088,79.0040751124645,92.9830005086782,130.808938357829,"Upper Columbia spring Chinook",73
"Entiat River - spring Chinook salmon",2001,128.940769077291,177.07821968937,206.834503065354,233.40644565488,312.256650958719,"Upper Columbia spring Chinook",226
"Entiat River - spring Chinook salmon",2002,113.420846383513,145.442518654306,164.302866235607,186.287681348531,245.0068959111,"Upper Columbia spring Chinook",152
"Entiat River - spring Chinook salmon",2003,81.697581223222,119.315616083316,142.514671867236,166.879067004315,225.292550268472,"Upper Columbia spring Chinook",199
"Entiat River - spring Chinook salmon",2004,86.2456207422102,114.394484860979,133.187976709061,156.891511278107,221.051302872535,"Upper Columbia spring Chinook",102
"Entiat River - spring Chinook salmon",2005,65.450933238592,89.0218020522074,101.994177630895,117.456796148401,153.633003366117,"Upper Columbia spring Chinook",111
"Entiat River - spring Chinook salmon",2006,52.2757391822119,67.692822894612,77.2676271732625,88.1836145353601,117.772848846243,"Upper Columbia spring Chinook",68
"Entiat River - spring Chinook salmon",2007,60.0234188931066,76.5981435188841,86.2076509532271,97.3680732272014,126.010199778342,"Upper Columbia spring Chinook",83
"Entiat River - spring Chinook salmon",2008,64.8768585822464,84.7396992010833,96.5079243990537,109.109010666849,140.939751240571,"Upper Columbia spring Chinook",105
"Entiat River - spring Chinook salmon",2009,86.5182100310477,112.163801720066,129.133716067308,150.818205069288,204.616845592653,"Upper Columbia spring Chinook",95
"Entiat River - spring Chinook salmon",2010,120.903761173108,170.048916001221,197.037377681047,227.16117908233,294.315093529616,"Upper Columbia spring Chinook",259
"Entiat River - spring Chinook salmon",2011,186.599975888111,243.749269730604,275.339535393194,311.546858888937,407.71841079702,"Upper Columbia spring Chinook",273
"Entiat River - spring Chinook salmon",2012,137.752117719228,185.954710580798,212.150388636204,240.278755021433,306.950290466246,"Upper Columbia spring Chinook",238
"Entiat River - spring Chinook salmon",2013,111.081695169837,141.603461678567,159.367553771004,181.714971946121,239.517020033436,"Upper Columbia spring Chinook",149
"Entiat River - spring Chinook salmon",2014,142.786911072807,181.60491255973,205.441012766758,235.47795635962,316.57311947249,"Upper Columbia spring Chinook",174
"Entiat River - spring Chinook salmon",2015,144.064296583618,200.363586200043,236.38747164022,274.758299540287,357.67626499073,"Upper Columbia spring Chinook",333
"Entiat River - spring Chinook salmon",2016,118.332557313165,170.815164342295,203.344379024523,238.6895871223,312.014792897972,"Upper Columbia spring Chinook",288
"Entiat River - spring Chinook salmon",2017,52.8207927818165,68.4973260329893,79.1896234648552,92.2065291334439,127.581220505431,"Upper Columbia spring Chinook",64
"Entiat River - spring Chinook salmon",2018,41.1129926834769,54.9708956674592,64.7119872965759,76.0219514156227,109.773217957818,"Upper Columbia spring Chinook",46
"Entiat River - spring Chinook salmon",2019,37.2262212210331,53.3863086132228,64.2357297745131,76.9797180125769,113.966051754814,"Upper Columbia spring Chinook",NA
"Entiat River - spring Chinook salmon",2020,57.7167224194428,80.8289572831426,94.556912664052,109.627316502634,144.079866336473,"Upper Columbia spring Chinook",120
"Entiat River - spring Chinook salmon",2021,96.8899970045604,126.740996405648,143.229866649884,162.352296606713,214.296847118417,"Upper Columbia spring Chinook",140
"Entiat River - spring Chinook salmon",2022,114.499220843214,151.913836469311,172.848422028105,196.71803682958,257.616828844057,"Upper Columbia spring Chinook",171
"Entiat River - spring Chinook salmon",2023,84.9652740989813,116.115088347661,133.537323177234,154.885587446318,215.924727941823,"Upper Columbia spring Chinook",122
"Entiat River - spring Chinook salmon",2024,69.432213818103,112.312988150068,139.317579489699,175.506250702875,276.733781199501,"Upper Columbia spring Chinook",NA
"Entiat River - spring Chinook salmon",2025,59.0121202428641,109.159053915043,144.72776580162,193.136266693714,357.772640150269,"Upper Columbia spring Chinook",NA
"Methow River - spring Chinook salmon",1999,30.7136097135947,42.2082807973653,50.5097140959747,61.5068939764369,98.4329780309803,"Upper Columbia spring Chinook",45
"Methow River - spring Chinook salmon",2000,89.3390589179844,120.780928114509,141.446376069086,170.738278636156,285.677616165107,"Upper Columbia spring Chinook",117
"Methow River - spring Chinook salmon",2001,212.719484949213,343.322550213115,443.344237149057,589.047656707172,1394.46107732341,"Upper Columbia spring Chinook",1832
"Methow River - spring Chinook salmon",2002,219.839178281867,314.996163202588,365.13831074396,429.275569961494,619.337156317639,"Upper Columbia spring Chinook",345
"Methow River - spring Chinook salmon",2003,84.6374607491499,242.381302725358,320.479053324623,408.858672451795,619.177183927622,"Upper Columbia spring Chinook",58
"Methow River - spring Chinook salmon",2004,259.695335274963,378.669021785741,442.720916617512,508.80809137864,683.786472318349,"Upper Columbia spring Chinook",488
"Methow River - spring Chinook salmon",2005,232.733333401363,337.714191084534,404.256928169914,475.327712587622,619.525990837157,"Upper Columbia spring Chinook",527
"Methow River - spring Chinook salmon",2006,189.507299266312,262.495771935973,302.270219464871,344.518760420023,457.401300930212,"Upper Columbia spring Chinook",328
"Methow River - spring Chinook salmon",2007,205.267498275638,258.160704913027,292.596628683979,334.010008624352,448.100973369416,"Upper Columbia spring Chinook",266
"Methow River - spring Chinook salmon",2008,220.430988174271,279.760124040946,317.872514123582,362.277095336441,483.161952418839,"Upper Columbia spring Chinook",298
"Methow River - spring Chinook salmon",2009,289.649695026032,406.681692273684,471.443840552591,539.752425603415,705.273551941473,"Upper Columbia spring Chinook",564
"Methow River - spring Chinook salmon",2010,371.838937283157,506.780497899512,577.541261816438,656.846059109286,859.25606265738,"Upper Columbia spring Chinook",601
"Methow River - spring Chinook salmon",2011,415.057268260849,620.557020878939,741.670439481769,868.158713133449,1139.68014641154,"Upper Columbia spring Chinook",961
"Methow River - spring Chinook salmon",2012,234.666051290013,317.541407494935,384.147599225995,471.053006509048,701.972852646088,"Upper Columbia spring Chinook",261
"Methow River - spring Chinook salmon",2013,195.032394945008,256.171909064842,296.678199363446,349.715180756701,494.528547773417,"Upper Columbia spring Chinook",241
