"COMMON_POPULATION_NAME","BROOD_YEAR","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","NUMBER_OF_SPAWNERS"
"Entiat River - summer Steelhead",1997,22.2828027576395,28.8897472510567,32.7082806915738,37.3242693521109,47.3555442266386,"Upper Columbia steelhead",31
"Entiat River - summer Steelhead",1998,23.4210095335636,29.5953950487205,33.1698001871449,37.0034729095977,45.9906958971888,"Upper Columbia steelhead",37
"Entiat River - summer Steelhead",1999,26.8847130501138,33.2208445842871,36.7855514920618,40.8269868885338,49.9258972813276,"Upper Columbia steelhead",38
"Entiat River - summer Steelhead",2000,39.5925904186672,48.0972999698895,53.0127810801122,58.8001530784746,71.8669628660271,"Upper Columbia steelhead",51
"Entiat River - summer Steelhead",2001,77.0740464980095,91.0275970209131,99.4308368783632,108.00815585681,128.65067780076,"Upper Columbia steelhead",98
"Entiat River - summer Steelhead",2002,156.889843736084,220.062580541071,244.019925280105,266.110329388161,311.440883059098,"Upper Columbia steelhead",266
"Entiat River - summer Steelhead",2003,93.3803369424295,110.77960910399,120.523735450227,131.544958893664,158.241420381475,"Upper Columbia steelhead",117
"Entiat River - summer Steelhead",2004,77.4782513173023,91.8626034474787,100.382862445917,110.221346480615,134.765492810035,"Upper Columbia steelhead",94
"Entiat River - summer Steelhead",2005,88.6216736481042,105.316082780736,114.123943178411,124.069606449917,146.726647217344,"Upper Columbia steelhead",116
"Entiat River - summer Steelhead",2006,93.1312609281598,112.148002449214,121.926063096889,133.251242645998,157.299505452413,"Upper Columbia steelhead",128
"Entiat River - summer Steelhead",2007,48.1572412982749,58.1585805420358,64.5160659410771,71.6915290266929,90.0190894865238,"Upper Columbia steelhead",59
"Entiat River - summer Steelhead",2008,89.4778282551842,108.339385369308,118.175443060691,128.488227489296,154.240185365887,"Upper Columbia steelhead",123
"Entiat River - summer Steelhead",2009,87.0811811573764,102.91226070695,113.08697053299,124.881225987429,157.439717817836,"Upper Columbia steelhead",102
"Entiat River - summer Steelhead",2010,255.043095645746,297.762764190948,325.14642984781,360.791343901326,487.293896677493,"Upper Columbia steelhead",297
"Entiat River - summer Steelhead",2011,435.003477527105,571.703132343072,635.603393189871,689.645426290366,801.34773420025,"Upper Columbia steelhead",695
"Entiat River - summer Steelhead",2012,356.8762469874,442.567887461403,481.199819505147,517.840238824024,598.123730371464,"Upper Columbia steelhead",519
"Entiat River - summer Steelhead",2013,216.480327315533,252.922492254499,275.789927856223,305.403513063377,390.404664555747,"Upper Columbia steelhead",243
"Entiat River - summer Steelhead",2014,329.434549239843,388.91105402093,419.876118762955,451.755376056854,534.095279812786,"Upper Columbia steelhead",420
"Entiat River - summer Steelhead",2015,429.602860256563,520.069593042772,560.900667846362,603.029340576906,699.32979914769,"Upper Columbia steelhead",583
"Entiat River - summer Steelhead",2016,389.35136714004,492.640952018108,539.079406758231,582.285225409416,674.400756884564,"Upper Columbia steelhead",586
"Entiat River - summer Steelhead",2017,154.607039690937,193.067604095041,214.525987910716,233.906713669752,272.648399831979,"Upper Columbia steelhead",238
"Entiat River - summer Steelhead",2018,97.7038535649896,117.260616857861,129.223647854507,144.780166371917,191.467299766411,"Upper Columbia steelhead",111
"Entiat River - summer Steelhead",2019,84.0328433439898,100.849492372914,111.665554608403,124.859411618143,166.471676520315,"Upper Columbia steelhead",97
"Entiat River - summer Steelhead",2020,215.069999696423,259.682377918363,281.116465362108,303.238610091395,358.869324513036,"Upper Columbia steelhead",290
"Entiat River - summer Steelhead",2021,281.776171829466,355.830026463326,388.878732797512,421.063722073229,488.788759452482,"Upper Columbia steelhead",412
"Entiat River - summer Steelhead",2022,175.315306152341,211.694055085555,231.345194516319,253.445817800377,316.240340011318,"Upper Columbia steelhead",223
"Entiat River - summer Steelhead",2023,111.231086018355,179.796542343403,224.375672239686,279.046928437858,430.717053271432,"Upper Columbia steelhead",NA
"Entiat River - summer Steelhead",2024,88.050541884836,173.918205156037,234.425868778179,313.309768310209,606.390379727396,"Upper Columbia steelhead",NA
"Entiat River - summer Steelhead",2025,76.0134050332666,169.849216349518,246.295133779127,362.422020446684,819.432551807235,"Upper Columbia steelhead",NA
"Methow River - summer Steelhead",1997,85.0112754221201,121.584105934272,137.328664987713,152.901775838716,182.489103200255,"Upper Columbia steelhead",164
"Methow River - summer Steelhead",1998,67.3008711385822,81.9022200727616,91.4638593515563,104.660271319086,140.483363145494,"Upper Columbia steelhead",69
"Methow River - summer Steelhead",1999,106.927197762274,127.372751983177,138.306891242649,149.862147654109,177.331839876152,"Upper Columbia steelhead",136
"Methow River - summer Steelhead",2000,175.736379144729,210.786626412078,228.223828465915,245.533155313772,285.163108137917,"Upper Columbia steelhead",242
"Methow River - summer Steelhead",2001,271.114506558057,316.307784570684,339.06339724192,363.997540306869,424.737609922742,"Upper Columbia steelhead",336
"Methow River - summer Steelhead",2002,460.523438912905,536.457328555616,575.663311108064,620.069314260894,734.855118194722,"Upper Columbia steelhead",562
"Methow River - summer Steelhead",2003,399.155023966337,459.381494903932,489.648997787351,522.86065000719,607.711590986635,"Upper Columbia steelhead",489
"Methow River - summer Steelhead",2004,439.898660890122,536.00742555899,584.211873238844,630.198406024947,719.568029948995,"Upper Columbia steelhead",652
"Methow River - summer Steelhead",2005,394.685223082017,458.40333659301,489.522297186752,521.504102125461,603.71047515158,"Upper Columbia steelhead",496
"Methow River - summer Steelhead",2006,382.373008615326,440.708388155725,477.696065473039,519.615138496833,630.026060200061,"Upper Columbia steelhead",422
"Methow River - summer Steelhead",2007,306.326399960685,354.601323599918,381.721191301479,409.401585830379,488.719084190354,"Upper Columbia steelhead",369
"Methow River - summer Steelhead",2008,503.447437589094,606.673729679259,659.729161426448,709.541011412367,810.271869119207,"Upper Columbia steelhead",729
